Rank,Tier,Customer ID,Customer Name,Sales Rep Name,Light Lager 12pk Cases,Lime Cases,Total Garage Cases,Last Order Date,Recommendation
47,1,190705,Rockaway W/L,Klejdi Lamo,7,15,22,2026-06-10,Sell Lime 24pk
48,1,12005,Shay's Liquors,Michael Harboy,7,6,13,2026-06-02,Sell Light Lager 24pk
49,1,29004,Shop-Rite Liq Lyndhurst,Phil Ernst,7,5,12,2026-05-19,Sell Light Lager 24pk
50,1,173032,Sparrows Wine & Liq (P) (126 Hoboken),Jaime Colonna,7,15,22,2026-05-14,Sell Lime 24pk
51,1,150248,The Wine Rack North Caldwell,Michael Harboy,7,3,10,2026-06-04,Sell Light Lager 24pk
52,1,88005,Waldwick Wine/Spirits,Mike Ast,7,3,10,2026-06-12,Sell Light Lager 24pk
53,1,60001,Bottle King (A) Dumont,Shane Barreca,6,5,11,2026-06-01,Sell Light Lager 24pk
54,1,25008,Clifton Commons S & W,Jim Heaney,6,7,13,2026-06-15,Sell Lime 24pk
55,1,173055,Hoboken Vine (A),Jaime Colonna,6,3,9,2026-05-06,Sell Light Lager 24pk
56,1,250087,House of Wine & Liquor Westfield,Andrew Lundy,6,2,8,2026-05-29,Sell Light Lager 24pk
57,1,190657,Shay's Liquors_2,John O'Donoghue,6,4,10,2026-05-29,Sell Light Lager 24pk
58,1,78008,Shop Rite Liq(A) Roch Pk,Phil Ernst,6,9,15,2026-06-15,Sell Lime 24pk
59,1,170050,Acme Markets (Hoboken),Jaime Colonna,5,13,18,2026-06-02,Sell Lime 24pk
60,1,3001,Best Cellars (Wanaque),Anthony Palmisano,5,3,8,2026-05-20,Sell Light Lager 24pk
61,1,191827,Best Cellars(Ledgewood),John O'Donoghue,5,3,8,2026-06-10,Sell Light Lager 24pk
62,1,150055,Bottle King Livingston,Hakan Sadik,5,5,10,2026-06-11,Sell Light Lager 24pk
63,1,170205,Buy-Rite Liquors,Alisa Acciardi,5,4,9,2026-05-20,Sell Light Lager 24pk
64,1,171117,Delite Market,Jaime Colonna,5,5,10,2026-06-12,Sell Light Lager 24pk
65,1,150110,Mountain Ridge Cc,Michael Harboy,5,5,10,2026-04-10,Sell Light Lager 24pk
66,1,191812,Patel Liqr & Gro(P),Klejdi Lamo,5,2,7,2026-05-26,Sell Light Lager 24pk
67,1,5006,Roserne Pkg Store South,Anthony Palmisano,5,10,15,2026-04-28,Sell Lime 24pk
68,1,190655,Sandy's Wine & Spirits (Flanders),John O'Donoghue,5,13,18,2026-06-05,Sell Lime 24pk
69,1,190309,Shop Rite Liq Parsippany,John O'Donoghue,5,6,11,2026-05-28,Sell Lime 24pk
70,1,81014,Shop Rite Liq(A) Fair Lwn,Phil Ernst,5,4,9,2026-06-15,Sell Light Lager 24pk
