On-Off Premise,Supplier,Brand,Brand Family,Product Num,Product Name,Package,Customer ID,Customer Name,Shipping Address,Buyer Count   2025/1,Units   2025/1,Buyer Count   2025/2,Units   2025/2,Buyer Count   2025/3,Units   2025/3,Buyer Count   2025/4,Units   2025/4,Buyer Count   2025/5,Units   2025/5,Buyer Count   2025/6,Units   2025/6,Buyer Count   2025/7,Units   2025/7,Buyer Count   2025/8,Units   2025/8,Buyer Count   2025/9,Units   2025/9,Buyer Count   2025/10,Units   2025/10,Buyer Count   2025/11,Units   2025/11,Buyer Count   2025/12,Units   2025/12,Buyer Count   2026/1,Units   2026/1,Buyer Count   2026/2,Units   2026/2,Buyer Count   2026/3,Units   2026/3,Buyer Count   2026/4,Units   2026/4,Buyer Count   2026/5,Units   2026/5,Buyer Count   2026/6,Units   2026/6,Buyer Count   2026/7,Units   2026/7
Off Premise,Bardstown Bourbon Co,Bardstown Origin Series Bottle-In-Bond,Bardstown Bourbon,201055,Bardstown Origin Series Bottle-In-Bond 1/750 mL Btl,1/750ML,24010,Western Bev 21088 Clift,20 Bridewell Place,,,1.00,24.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Off Premise,US Beverage,Sammy's Beach Bar Platinum Rum,Sammy's Beach Bum,200261,Sammy's Beach Bar Platinum Rum 1/6/750 mL Btl,1/6/750 mL (BO),15040,Legacy Bar & Liquor,1019 Mcbride Ave,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,1.00,,,,,,,,,,
Off Premise,Molly's,Molly's Irish Cream,Molly's,200299,Molly's Irish Cream Gift Set 1/6/750 mL Btl,6/750ml Btl,191606,Quick Check Liquor (A),70 Main St,,,,,,,,,,,,,,,,,,,,,,,1.00,1.00,,,,,,,,,,,,,,
Off Premise,Savorian INC,Castellani Etichetta Gialla Pinot Noir,Castellani Etichetta Gialla,100953,Castellani Etichetta Gialla Pinot Noir 1/12/750 mL Btl,1/12/750ml Btl,19008,Hawthorne Liq (A),610 Lafayette Ave,,,,,,,,,,,,,,,,,,,,,,,1.00,1.00,,,,,,,,,,,,,,
Off Premise,Travelers Club,TRAVELERS CLUB,Travelers Club,200403,Travelers Club Vodka 1/12/750 mL Btl,1/12/750ml Btl,150607,Angel Liquors,634 Dr. Mlk Jr. Blvd,1.00,3.00,,,,,,,,,1.00,2.00,1.00,1.00,,,1.00,1.00,,,1.00,1.00,,,,,,,1.00,1.00,,,1.00,2.00,,,,
Off Premise,Molly's,Molly's Irish Cream,Molly's,200291,Molly's Irish Cream 6/1.75 L Btl,6/1.75 Liter Btl,250071,Total Wine & More (Union),950 Springfield Rd,,,,,,,,,1.00,1.00,1.00,3.00,,,,,,,1.00,3.00,,,,,,,,,,,,,,,,,,
Off Premise,Molly's,Molly's Irish Cream,Molly's,200291,Molly's Irish Cream 6/1.75 L Btl,6/1.75 Liter Btl,88005,Waldwick Wine/Spirits,23 Wyckoff Ave,,,,,,,,,,,,,1.00,1.00,,,,,,,,,,,,,,,,,,,,,,,,
Off Premise,Pio Imports,Terredirai Bloom Bubbles Sparkling,Bloom Bubbles,9409,Terredirai Bloom Bubbles Sparkling Non-Alcoholic 1/12/750 ML Btl,1/12/750ml Btl,36007,Shop Rite Of Wallington,375 Paterson Ave,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,3.00
Off Premise,Bardstown Bourbon Co,Bardstown Origin Series High Wheat,Bardstown Bourbon,201058,Bardstown Origin Series High Wheat 1/750 mL Btl,1/750ML,190705,Rockaway W/L,73 W Main St,,,,,,,,,,,,,,,,,,,,,1.00,6.00,,,,,,,1.00,6.00,,,,,,,,
Off Premise,Bardstown Bourbon Co,Green River Honey,Bardstown Green River,201077,Green River Honey 1/750 mL Btl,1/6/750 mL (BO),191710,Shop Rite Wine & Spirits Stanhope,90 Route 206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,18.00,,,,
Off Premise,Pride & Clarke,Pride & Clarke Vodka,Pride & Clarke,200312,Pride & Clarke Vodka 48/200 mL Btl,48/200ml Btl,20022,Caraballo's,495 Market Street,,,,,,,,,1.00,4.00,,,,,,,,,,,,,,,,,1.00,5.00,1.00,5.00,,,,,,,,
Off Premise,Pride & Clarke,Pride & Clarke Vodka,Pride & Clarke,200313,Pride & Clarke Vodka 24/375 mL Btl,24/375ml Btl,150618,Home Liquors(641 Newark),641 Springfield Ave,1.00,2.00,,,1.00,2.00,,,,,1.00,2.00,1.00,1.00,,,1.00,2.00,,,,,1.00,1.00,,,,,,,,,1.00,3.00,,,1.00,1.00
Off Premise,Pride & Clarke,Pride & Clarke Vodka,Pride & Clarke,200313,Pride & Clarke Vodka 24/375 mL Btl,24/375ml Btl,24005,Henry's Liquors,1224 Van Houten Ave,,,,,,,,,1.00,5.00,,,,,,,,,,,,,,,,,,,,,,,1.00,8.00,,,,
Off Premise,Caravella Inc,Lou Lou Bubbly Semi Sweet Rose,Caravella,200737,Lou Lou Bubbly Semi Sweet Rose 1/12/12 oz Can,1/12/12oz Can,40010,Hackensack Liquors,500 South River St,,,,,,,1.00,1.00,,,,,1.00,2.00,,,,,1.00,1.00,1.00,2.00,,,1.00,1.00,,,,,1.00,1.00,,,,,,
Off Premise,US Beverage,Sammy's Beach Bar Platinum Rum,Sammy's Beach Bum,200261,Sammy's Beach Bar Platinum Rum 1/6/750 mL Btl,1/6/750 mL (BO),32017,Wine Grand (Carlstadt),675 Paterson Ave,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,6.00,,,,,,,,,,
Off Premise,Eleven20,Eleven20 Tequila Anejo,Eleven20 Tequila,200251,Eleven20 Tequila Anejo 750 mL 6/750 mL Btl,6/750ml Btl,17011,Nico's Wine & Spirits,408 Haledon Ave,,,,,,,,,,,,,,,,,,,1.00,1.00,,,,,,,,,,,,,,,,,,
Off Premise,Jerzey Jungle LLC,Jerzey Jungle Juice,Jerzey Jungle,200762,Jerzey Jungle Juice 6/1.75 L Btl,6/1.75 Liter Btl,13001,Shop Rite Liq (A)Littlefl,171 Browertown Rd,,,,,,,,,,,,,,,1.00,1.00,,,,,,,,,,,,,,,,,1.00,1.00,,,,
Off Premise,Molly's,Molly's Irish Cream,Molly's,200291,Molly's Irish Cream 6/1.75 L Btl,6/1.75 Liter Btl,152032,Avenue Liquors,208 Bloomfield Ave,,,,,,,,,,,,,1.00,1.00,,,,,,,,,,,,,,,,,,,,,,,,
Off Premise,Travelers Club,TRAVELERS CLUB,Travelers Club,200401,Travelers Club Vodka 48/200 mL Btl,48/200ml Btl,24015,Allwood Liquor Store,60 Market St,,,,,,,1.00,1.00,1.00,1.00,,,,,,,,,1.00,2.00,,,1.00,1.00,,,,,,,,,,,,,,
Off Premise,Little Water Distillery,Rusted Revolver Gin,Rusted Revolver,200467,Rusted Revolver Gin 6/750mL Btl,6/750ml Btl,173032,Sparrows Wine & Liq (P) (126 Hoboken),126 Washington St,,,,,,,,,,,,,,,,,,,,,,,,,1.00,1.00,,,,,,,,,,,,
Off Premise,Pride & Clarke,Pride & Clarke Vodka,Pride & Clarke,200311,Pride & Clarke Vodka 12/1 L Btl,12/1 Liter Btl,150644,Fox's Liquor,164 Irvine Turner Blvd,,,,,,,,,1.00,2.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Off Premise,Bardstown Bourbon Co,Bardstown Green River Bourbon,Bardstown Green River,201051,Green River Bourbon 1/750 mL Btl,1/750ML,80005,Shop Rite Liq (Paramus),224 Rt 4 E,,,1.00,2.00,,,,,,,,,,,,,,,,,,,,,1.00,2.00,,,,,,,,,,,,
Off Premise,Pride & Clarke,Pride & Clarke Vodka,Pride & Clarke,200312,Pride & Clarke Vodka 48/200 mL Btl,48/200ml Btl,152002,Home Wine & Liquor (224 Newark),224 Elizabeth Ave,1.00,4.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,1.00
Off Premise,Bardstown Bourbon Co,Bardstown Single Barrel GSPD#1,Bardstown Bourbon,201069,Bardstown Single Barrel GSPD #1 1/750 mL Btl,1/750ML,12007,Gary's Wine & Marketplace (Wayne),1308 Rte 23,,,,,,,,,,,,,1.00,3.00,,,,,,,,,,,,,,,,,,,,,,,,
Off Premise,Travelers Club,TRAVELERS CLUB,Travelers Club,200403,Travelers Club Vodka 1/12/750 mL Btl,1/12/750ml Btl,44016,Liquor City(A)Cliffside,494 Anderson Ave,,,,,,,,,,,,,1.00,1.00,,,,,,,,,1.00,1.00,,,,,,,,,,,,,,
Off Premise,Travelers Club,TRAVELERS CLUB,Travelers Club,200401,Travelers Club Vodka 48/200 mL Btl,48/200ml Btl,17002,Hillcrest Liqrs (A),168 Union Ave,,,,,,,,,,,,,,,,,,,,,1.00,1.00,,,,,,,,,,,,,,,,
Off Premise,Pride & Clarke,Pride & Clarke Vodka,Pride & Clarke,200314,Pride & Clarke Vodka 1/12/750 mL Btl,1/12/750ml Btl,27066,Sunny's Liqs.(P),413 Monroe St,,,,,,,,,,,,,,,,,,,,,,,1.00,4.00,,,,,,,,,,,,,,
Off Premise,Pride & Clarke,Pride & Clarke Vodka,Pride & Clarke,200314,Pride & Clarke Vodka 1/12/750 mL Btl,1/12/750ml Btl,150612,All Brothers Ii (Irvington),859 18th Ave,1.00,2.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Off Premise,Bardstown Bourbon Co,Bardstown Collaboration Series Goose Island,Bardstown Bourbon,201063,Bardstown Collaboration Series Goose Island 1/750 mL Btl,1/750ML,12007,Gary's Wine & Marketplace (Wayne),1308 Rte 23,,,,,,,1.00,1.00,,,,,1.00,2.00,,,,,,,,,,,,,,,,,,,,,,,,
Off Premise,Bardstown Bourbon Co,Bardstown Collaboration Series Amrut,Bardstown Bourbon,201062,Bardstown Collaboration Series Amrut 1/750 mL Btl,1/750ML,42004,Wine And People,260 Bergen Tpk,,,,,,,,,,,1.00,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,
Off Premise,Pride & Clarke,Pride & Clarke Vodka,Pride & Clarke,200312,Pride & Clarke Vodka 48/200 mL Btl,48/200ml Btl,150649,Ralph Liquors,65-67 Elizabeth Ave,1.00,6.00,1.00,2.00,1.00,2.00,1.00,2.00,1.00,4.00,1.00,2.00,1.00,2.00,1.00,2.00,,,,,,,,,,,,,,,,,,,,,,
Off Premise,Bardstown Bourbon Co,Bardstown Origin Series Bottle-In-Bond,Bardstown Bourbon,201055,Bardstown Origin Series Bottle-In-Bond 1/750 mL Btl,1/750ML,2003,Ringwood W&L,130 Skyline Drive,,,,,1.00,2.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Off Premise,Pride & Clarke,Pride & Clarke Vodka,Pride & Clarke,200314,Pride & Clarke Vodka 1/12/750 mL Btl,1/12/750ml Btl,170090,Bauers Wine & Liquor,739 West Side Avenue,,,,,,,,,1.00,1.00,,,,,,,1.00,1.00,,,1.00,1.00,,,,,,,,,,,,,1.00,1.00,,
Off Premise,Bardstown Bourbon Co,Bardstown Origin Series Bourbon,Bardstown Bourbon,201056,Bardstown Origin Series Bourbon 1/750 mL Btl,1/750ML,77009,M & M Wine & Spirits,429 Market St,1.00,6.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Off Premise,Bardstown Bourbon Co,Bardstown Origin Series Bourbon,Bardstown Bourbon,201056,Bardstown Origin Series Bourbon 1/750 mL Btl,1/750ML,191608,Shop-Rite(A) Netcong,75 Us-46 Lackawanna Plaza,,,1.00,6.00,,,,,1.00,18.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Off Premise,Bardstown Bourbon Co,Bardstown Single Barrel GSPD#1,Bardstown Bourbon,201069,Bardstown Single Barrel GSPD #1 1/750 mL Btl,1/750ML,190207,Liquor Outlet,289 Myrtle Ave,,,,,,,,,,,1.00,3.00,,,,,,,,,,,,,,,,,,,,,,,,,,
Off Premise,Chateau Diana Winery,Chateau Diana Non-Alcoholic Moscato,Chateau Diana,200194,Chateau Diana Non-Alcoholic Moscato 12/750 mL Btl,1/12/750ml Btl,170053,Bbb Liquors(Costco),19 Goldsborough Dr,,,,,,,,,,,,,,,,,,,,,,,1.00,1.00,,,,,,,,,,,,,,
Off Premise,Bardstown Bourbon Co,Bardstown Collaboration Series Pierre Ferrand,Bardstown Bourbon,201073,Bardstown Collaboration Series Pierre Ferrand 1/750 mL Btl,1/750ML,92011,Bottle King (A) Ramsey,476 Rt 17 N,,,,,,,,,,,,,,,,,1.00,3.00,,,,,1.00,3.00,,,,,,,,,,,1.00,3.00,1.00,3.00
Off Premise,Bardstown Bourbon Co,Bardstown Green River Bourbon,Bardstown Green River,201051,Green River Bourbon 1/750 mL Btl,1/750ML,35002,Woodridge Wines & Liq(A),206 Hackensack St,,,,,,,1.00,1.00,,,,,,,,,,,,,,,,,,,,,,,1.00,1.00,,,,,,
Off Premise,Pride & Clarke,Pride & Clarke Vodka,Pride & Clarke,200314,Pride & Clarke Vodka 1/12/750 mL Btl,1/12/750ml Btl,150669,A-1 Payless Liquors,1045 Stuyvesant Ave,1.00,3.00,,,,,,,1.00,1.00,,,,,,,,,1.00,2.00,,,,,,,,,,,,,,,,,,
Off Premise,Travelers Club,TRAVELERS CLUB,Travelers Club,200404,Traveler's Club Vodka 6/1.75 L Btl,6/1.75 Liter Btl,83001,Food Universe Marketplace,937 Lincoln Ave,1.00,5.00,1.00,5.00,,,1.00,3.00,1.00,5.00,,,1.00,5.00,1.00,10.00,,,,,,,1.00,5.00,,,1.00,5.00,,,1.00,5.00,,,,,1.00,5.00
Off Premise,Travelers Club,TRAVELERS CLUB,Travelers Club,200404,Traveler's Club Vodka 6/1.75 L Btl,6/1.75 Liter Btl,96002,Wine & Spirit World(W),303 Franklin Ave,1.00,10.00,1.00,5.00,1.00,5.00,1.00,4.00,1.00,8.00,1.00,7.00,1.00,15.00,1.00,5.00,1.00,13.00,1.00,4.00,1.00,9.00,1.00,10.00,1.00,5.00,1.00,11.00,1.00,10.00,1.00,5.00,1.00,10.00,1.00,5.00,1.00,10.00
Off Premise,Molly's,Molly's Irish Cream,Molly's,200291,Molly's Irish Cream 6/1.75 L Btl,6/1.75 Liter Btl,94001,Long Hill Liquors (A),14 Post Rd,,,,,,,,,,,,,1.00,1.00,,,1.00,1.00,,,1.00,1.00,1.00,1.00,,,1.00,3.00,,,,,1.00,2.00,,,,
Off Premise,Molly's,Molly's Irish Cream,Molly's,200294,Molly's Irish Cream 1/12/750 mL Btl,1/12/750ml Btl,171016,Wine Warehouse (P) (Bayonne),1 Le Fante Way,,,,,,,,,,,,,,,,,,,,,1.00,1.00,,,,,,,,,,,,,,,,
Off Premise,OVO Vodka LLC,OVO Vodka,OVO Vodka,100912,OVO Vodka 1/12/750 mL Btl,1/12/750 mL (BO),39012,Wine And Liq Depot(A),310 Huyler St,,,,,,,,,,,,,,,1.00,12.00,,,,,,,,,,,,,,,,,,,,,,
Off Premise,Bardstown Bourbon Co,Bardstown Origin Series Double Barrel Rye,Bardstown Bourbon,201057,Bardstown Origin Series Double Barrel Rye 1/750 mL Btl,1/750ML,47005,Exquisite W & L (A),215 Main St,1.00,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Off Premise,Travelers Club,TRAVELERS CLUB,Travelers Club,200403,Travelers Club Vodka 1/12/750 mL Btl,1/12/750ml Btl,150183,Home Liquors(773 Newark),773 South Orange Ave,,,1.00,2.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Off Premise,Pride & Clarke,Pride & Clarke Vodka,Pride & Clarke,200310,Pride & Clarke Vodka 6/1.75 L Btl,6/1.75 Liter Btl,250156,Alman Liquors,111 East 2nd Ave,,,,,,,,,,,,,,,,,,,,,,,1.00,1.00,,,,,,,,,,,,,,
Off Premise,Pride & Clarke,Pride & Clarke Vodka,Pride & Clarke,200312,Pride & Clarke Vodka 48/200 mL Btl,48/200ml Btl,15031,Pete's Family Liqs,49 N Main Street,1.00,10.00,,,,,,,1.00,10.00,,,,,,,,,,,,,,,1.00,10.00,1.00,10.00,,,,,1.00,10.00,1.00,10.00,,
Off Premise,Prestige Beverage Group,2XO American Oak,2XO,100961,2XO American Oak 1/750 mL Btl,1/6/750 mL (BO),77009,M & M Wine & Spirits,429 Market St,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,6.00
Off Premise,Bardstown Bourbon Co,Bardstown Origin Series Bourbon,Bardstown Bourbon,201056,Bardstown Origin Series Bourbon 1/750 mL Btl,1/750ML,67005,Shoprite Liq (A)Northvle,254 F Livingston St.,1.00,3.00,1.00,12.00,,,,,,,1.00,6.00,,,,,,,,,,,1.00,6.00,,,,,,,1.00,6.00,,,,,,
Off Premise,Pride & Clarke,Pride & Clarke Vodka,Pride & Clarke,200312,Pride & Clarke Vodka 48/200 mL Btl,48/200ml Btl,21050,Quis Queya Liquor(P),586 21st Avenue,,,,,,,,,,,,,,,,,,,,,,,,,1.00,2.00,,,,,1.00,4.00,,,1.00,1.00,,
Off Premise,Pride & Clarke,Pride & Clarke Vodka,Pride & Clarke,200313,Pride & Clarke Vodka 24/375 mL Btl,24/375ml Btl,170071,West Side Liquors,870 West Side Avenue,,,,,,,,,,,,,1.00,1.00,,,,,1.00,1.00,,,,,,,,,,,,,,,,,,
Off Premise,Pride & Clarke,Pride & Clarke Vodka,Pride & Clarke,200313,Pride & Clarke Vodka 24/375 mL Btl,24/375ml Btl,44052,Minit Mart_2,237 Palisade Ave,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,3.00,1.00,1.00,1.00,2.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,,,,,,,,,,,,,,
Off Premise,Bardstown Bourbon Co,Green River Honey,Bardstown Green River,201077,Green River Honey 1/750 mL Btl,1/6/750 mL (BO),25010,Stew Leonard's Wines & Spirits of Clifton,467 Allwood Rd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,18.00,1.00,12.00,1.00,36.00
Off Premise,Pride & Clarke,Pride & Clarke Vodka,Pride & Clarke,200312,Pride & Clarke Vodka 48/200 mL Btl,48/200ml Btl,150063,Victory Wine & Liquor,457 Central Ave,,,1.00,4.00,,,,,,,,,,,,,,,,,,,,,1.00,3.00,,,,,1.00,4.00,,,1.00,6.00,,
Off Premise,Bardstown Bourbon Co,Bardstown Collaboration Series Silver Oak,Bardstown Bourbon,201064,Bardstown Collaboration Series Silver Oak 1/750 mL Btl,1/750ML,12011,Bottle King (A) Wayne,1950 NJ-23,,,,,,,1.00,1.00,,,1.00,2.00,,,,,,,,,,,,,,,,,,,,,,,,,,
Off Premise,Bardstown Bourbon Co,Bardstown Green River Full Proof,Bardstown Green River,201052,Green River Full Proof 1/750 mL,1/750ML,11003,Lincoln Park Fine Wines & Spirits,60 Beaverbrook Road,,,1.00,2.00,1.00,3.00,,,,,,,,,,,,,,,,,,,,,,,,,1.00,6.00,1.00,-5.00,,,,
Off Premise,Travelers Club,TRAVELERS CLUB,Travelers Club,200401,Travelers Club Vodka 48/200 mL Btl,48/200ml Btl,250059,Payless Liquor,1041 Elizabeth Ave,,,1.00,2.00,1.00,2.00,1.00,2.00,1.00,3.00,1.00,3.00,,,1.00,2.00,,,,,,,1.00,2.00,,,,,,,,,1.00,3.00,,,,
Off Premise,Travelers Club,TRAVELERS CLUB,Travelers Club,200401,Travelers Club Vodka 48/200 mL Btl,48/200ml Btl,27066,Sunny's Liqs.(P),413 Monroe St,,,,,,,,,,,,,,,,,,,,,,,1.00,1.00,,,,,,,,,,,,,,
Off Premise,Travelers Club,TRAVELERS CLUB,Travelers Club,200402,Travelers Club Vodka 24/375 mL Btl,24/375ml Btl,152000,Royal Liquors 3,634 18th Ave,,,,,,,,,1.00,2.00,,,,,,,,,,,,,,,,,1.00,3.00,,,,,,,,,,
Off Premise,Jerzey Jungle LLC,Jerzey Jungle Juice,Jerzey Jungle,200762,Jerzey Jungle Juice 6/1.75 L Btl,6/1.75 Liter Btl,45004,Ridgefield Liq (Z),520 Shaler Blvd,,,,,,,,,,,,,1.00,1.00,,,,,,,,,,,,,,,,,,,,,,,,
Off Premise,Molly's,Molly's Irish Cream,Molly's,200293,Molly's Irish Cream 60/50 mL Btl,60/50ml Btl,250068,Jakob Liquors,1114-1126 Elizabeth Ave,,,,,,,1.00,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Off Premise,Pio Imports,Terredirai Bloom Bubbles Sparkling,Bloom Bubbles,9409,Terredirai Bloom Bubbles Sparkling Non-Alcoholic 1/12/750 ML Btl,1/12/750ml Btl,170018,ShopRite Wines & Spirits of Hoboken,900 Madison St,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,3.00
Off Premise,Travelers Club,TRAVELERS CLUB,Travelers Club,200401,Travelers Club Vodka 48/200 mL Btl,48/200ml Btl,20062,Intensity Lounge/Angie's Liquors,109 Main St,,,,,,,,,,,,,,,,,,,1.00,2.00,,,1.00,1.00,,,1.00,1.00,1.00,1.00,1.00,1.00,,,,,1.00,1.00
Off Premise,Local Choice Inc,Striped Pig Black Cherry,Striped Pig,200367,Striped Pig Black Cherry 1/6/750 mL Btl,1/6/750 mL,76010,Usa Wine Traders Club (Saddle Brook),66 Market St,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,1.00,,,,,,,,
Off Premise,Eleven20,Eleven20 Tequila Reposado,Eleven20 Tequila,200253,Eleven20 Tequila Reposado 750 mL 6/750 mL Btl,6/750ml Btl,42004,Wine And People,260 Bergen Tpk,,,,,,,1.00,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Off Premise,Prestige Beverage Group,2XO American Oak,2XO,100961,2XO American Oak 1/750 mL Btl,1/6/750 mL (BO),45004,Ridgefield Liq (Z),520 Shaler Blvd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,1.00,,
Off Premise,Bardstown Bourbon Co,Bardstown Origin Series Bourbon,Bardstown Bourbon,201056,Bardstown Origin Series Bourbon 1/750 mL Btl,1/750ML,62009,Gary's Wine & Marketplace (Closter),67 Ver Valen St,,,1.00,6.00,,,1.00,6.00,1.00,6.00,,,,,1.00,6.00,,,1.00,6.00,1.00,12.00,1.00,12.00,,,,,,,1.00,6.00,,,,,,
Off Premise,Chateau Diana Winery,Chateau Diana Non-Alcoholic Cabernet Sauvignon,Chateau Diana,200191,Chateau Diana Non-Alcoholic Cabernet Sauvignon 12/750 mL Btl,1/12/750ml Btl,6002,Roserne Liquors North,1150 NJ-23,,,,,,,,,,,,,,,,,,,,,,,,,1.00,1.00,,,,,,,,,,,,
Off Premise,Bardstown Bourbon Co,Bardstown Green River Rye,Bardstown Green River,201053,Green River Rye 1/750 mL,1/750ML,191608,Shop-Rite(A) Netcong,75 Us-46 Lackawanna Plaza,,,1.00,6.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Off Premise,Bardstown Bourbon Co,Bardstown Origin Series Bourbon,Bardstown Bourbon,201056,Bardstown Origin Series Bourbon 1/750 mL Btl,1/750ML,24011,Shoppers Vineyard (A),875 Bloomfield Ave,,,1.00,6.00,,,,,,,,,,,,,1.00,6.00,,,,,1.00,6.00,,,,,,,,,,,,,1.00,6.00
Off Premise,Pride & Clarke,Pride & Clarke Vodka,Pride & Clarke,200313,Pride & Clarke Vodka 24/375 mL Btl,24/375ml Btl,25031,Lexington Liquors (Z),430 Lexington Ave,,,,,,,,,,,1.00,2.00,,,,,,,,,,,1.00,0.00,,,,,,,1.00,1.00,1.00,1.00,1.00,2.00,1.00,2.00
Off Premise,Molly's,Molly's Irish Cream Salted Caramel,Molly's,200298,Molly's Irish Cream Salted Caramel 1/6/750 mL Btl,6/750ml Btl,77009,M & M Wine & Spirits,429 Market St,,,,,,,,,,,,,,,,,,,,,,,1.00,1.00,,,,,,,,,,,,,,
