Sales Rep Assigned,Product Num Name,Customer Num & Company,On-Off Premise,Load Sheet Date,Placement Count   6/1/2026 - 8/31/2026,Placement Count   9/1/2026 - 9/30/2026
Shane Barreca,1170 Fever Tree Ginger Ale 3/8/150 mL Can,62009 Gary's Wine & Marketplace (Closter),Off Premise,9/1/2026,,1.00
Brian Sengebush,1151 Fever Tree Ginger Beer 6/4/200 mL Btl,231717 Culver Liquor and Bar,Off Premise,9/1/2026,,1.00
Dan Lagala,1166 Fever Tree Elderflower Tonic Water 6/4/200 mL Btl,49055 Edgewater Liquor (A),Off Premise,9/1/2026,,1.00
Dan Lagala,1157 Fever Tree Club Soda 6/4/200 mL Btl,49055 Edgewater Liquor (A),Off Premise,9/1/2026,,1.00
Jayson Romine,1151 Fever Tree Ginger Beer 6/4/200 mL Btl,191302 Liquor Factory I Landing,Off Premise,9/1/2026,,1.00
Chris Payton,1159 Fever Tree Club Soda 3/8/150 mL Can,34007 Liquor Masters (P),Off Premise,9/1/2026,,1.00
Dan Lagala,1163 Fever Tree Tonic Water Light 6/4/200 mL Btl,49055 Edgewater Liquor (A),Off Premise,9/1/2026,,1.00
Shane Barreca,1162 Fever Tree Tonic Water 3/8/150 mL Can,62009 Gary's Wine & Marketplace (Closter),Off Premise,9/1/2026,,1.00
Dan Lagala,1172 Fever Tree Pink Grapefruit Soda 6/4/200 mL Btl,49055 Edgewater Liquor (A),Off Premise,9/1/2026,,1.00
Dan Lagala,1175 Fever Tree Cucumber 6/4/200 mL Btl,49055 Edgewater Liquor (A),Off Premise,9/1/2026,,1.00
Jayson Romine,1165 Fever Tree Tonic Water Light 3/8/150 mL Can,230114 Liquor Factory III Sparta,Off Premise,8/31/2026,1.00,
Jayson Romine,1151 Fever Tree Ginger Beer 6/4/200 mL Btl,191702 Liquor Factory VI Byram,Off Premise,8/31/2026,1.00,
Jayson Romine,1151 Fever Tree Ginger Beer 6/4/200 mL Btl,230114 Liquor Factory III Sparta,Off Premise,8/31/2026,1.00,
Jayson Romine,1162 Fever Tree Tonic Water 3/8/150 mL Can,191702 Liquor Factory VI Byram,Off Premise,8/31/2026,1.00,
Matt Powierski,1169 Fever Tree Ginger Ale 6/4/200 mL Btl,31060 Bottle Republic (Rutherford),Off Premise,8/28/2026,1.00,
Chris Payton,1172 Fever Tree Pink Grapefruit Soda 6/4/200 mL Btl,35001 Westmont Liquors 64,Off Premise,8/28/2026,1.00,
Matt Powierski,1162 Fever Tree Tonic Water 3/8/150 mL Can,31060 Bottle Republic (Rutherford),Off Premise,8/28/2026,1.00,
Matt Powierski,1151 Fever Tree Ginger Beer 6/4/200 mL Btl,31060 Bottle Republic (Rutherford),Off Premise,8/28/2026,1.00,
Chris Payton,1151 Fever Tree Ginger Beer 6/4/200 mL Btl,35001 Westmont Liquors 64,Off Premise,8/28/2026,1.00,
Chris Payton,1166 Fever Tree Elderflower Tonic Water 6/4/200 mL Btl,35001 Westmont Liquors 64,Off Premise,8/28/2026,1.00,
Chris Payton,1176 Fever Tree Sicilian Lemonade 6/4/200 mL Btl,38040 Buy Rite Discount Liquor,Off Premise,8/28/2026,1.00,
Shane Barreca,1151 Fever Tree Ginger Beer 6/4/200 mL Btl,75004 Cork & Keg (A),Off Premise,8/28/2026,1.00,
Matt Powierski,1162 Fever Tree Tonic Water 3/8/150 mL Can,36007 Shop Rite Of Wallington,Off Premise,8/28/2026,1.00,
Matt Powierski,1161 Fever Tree Tonic Water 8/500 mL Btl,36007 Shop Rite Of Wallington,Off Premise,8/28/2026,1.00,
Mike Ast,1162 Fever Tree Tonic Water 3/8/150 mL Can,11003 Lincoln Park Fine Wines & Spirits,Off Premise,8/28/2026,1.00,
Phil Ernst,1176 Fever Tree Sicilian Lemonade 6/4/200 mL Btl,25010 Stew Leonard's Wines & Spirits of Clifton,Off Premise,8/28/2026,1.00,
Chris Payton,1158 Fever Tree Club Soda 8/500 mL Btl,38040 Buy Rite Discount Liquor,Off Premise,8/28/2026,1.00,
Matt Powierski,1159 Fever Tree Club Soda 3/8/150 mL Can,36007 Shop Rite Of Wallington,Off Premise,8/28/2026,1.00,
Matt Powierski,1160 Fever Tree Tonic Water 6/4/200 mL Btl,31060 Bottle Republic (Rutherford),Off Premise,8/28/2026,1.00,
Phil Ernst,1151 Fever Tree Ginger Beer 6/4/200 mL Btl,25010 Stew Leonard's Wines & Spirits of Clifton,Off Premise,8/28/2026,1.00,
Matt Powierski,1158 Fever Tree Club Soda 8/500 mL Btl,31060 Bottle Republic (Rutherford),Off Premise,8/28/2026,1.00,
Mike Ast,1166 Fever Tree Elderflower Tonic Water 6/4/200 mL Btl,11003 Lincoln Park Fine Wines & Spirits,Off Premise,8/28/2026,1.00,
Matt Powierski,1175 Fever Tree Cucumber 6/4/200 mL Btl,31060 Bottle Republic (Rutherford),Off Premise,8/28/2026,1.00,
Shane Barreca,1152 Fever Tree Light Ginger Beer 6/4/200 mL Btl,75004 Cork & Keg (A),Off Premise,8/28/2026,1.00,
Matt Powierski,1166 Fever Tree Elderflower Tonic Water 6/4/200 mL Btl,31060 Bottle Republic (Rutherford),Off Premise,8/28/2026,1.00,
Matt Powierski,1168 Fever Tree mediterranean Tonic Water 6/4/200 mL Btl,31060 Bottle Republic (Rutherford),Off Premise,8/28/2026,1.00,
Mike Ast,1179 Fever Tree Classic Margarita Mix 6/750 mL Btl,11003 Lincoln Park Fine Wines & Spirits,Off Premise,8/28/2026,1.00,
Mike Ast,1176 Fever Tree Sicilian Lemonade 6/4/200 mL Btl,11003 Lincoln Park Fine Wines & Spirits,Off Premise,8/28/2026,1.00,
Chris Payton,1155 Fever Tree Ginger Beer 3/8/150 mL Can,38040 Buy Rite Discount Liquor,Off Premise,8/28/2026,1.00,
Phil Ernst,1160 Fever Tree Tonic Water 6/4/200 mL Btl,25010 Stew Leonard's Wines & Spirits of Clifton,Off Premise,8/28/2026,1.00,
Matt Powierski,1157 Fever Tree Club Soda 6/4/200 mL Btl,31060 Bottle Republic (Rutherford),Off Premise,8/28/2026,1.00,
Chris Payton,1168 Fever Tree mediterranean Tonic Water 6/4/200 mL Btl,35001 Westmont Liquors 64,Off Premise,8/28/2026,1.00,
Matt Powierski,1176 Fever Tree Sicilian Lemonade 6/4/200 mL Btl,31060 Bottle Republic (Rutherford),Off Premise,8/28/2026,1.00,
Phil Ernst,1167 Fever Tree Elderflower Tonic Water 3/8/150 mL Can,25010 Stew Leonard's Wines & Spirits of Clifton,Off Premise,8/28/2026,1.00,
Phil Ernst,1157 Fever Tree Club Soda 6/4/200 mL Btl,83010 Bottle King (A) Glen Rock,Off Premise,8/27/2026,1.00,
Shane Barreca,1178 Fever Tree Expresso Martini Mix 8/500 mL Btl,92011 Bottle King (A) Ramsey,Off Premise,8/27/2026,1.00,
Phil Ernst,1155 Fever Tree Ginger Beer 3/8/150 mL Can,83010 Bottle King (A) Glen Rock,Off Premise,8/27/2026,1.00,
Shane Barreca,1157 Fever Tree Club Soda 6/4/200 mL Btl,92011 Bottle King (A) Ramsey,Off Premise,8/27/2026,1.00,
Phil Ernst,1162 Fever Tree Tonic Water 3/8/150 mL Can,80041 PRIME WINE CELLAR Liquor & Beer,Off Premise,8/27/2026,1.00,
Shane Barreca,1162 Fever Tree Tonic Water 3/8/150 mL Can,92011 Bottle King (A) Ramsey,Off Premise,8/27/2026,1.00,
Phil Ernst,1164 Fever Tree Tonic Water Light 8/500 mL Btl,83010 Bottle King (A) Glen Rock,Off Premise,8/27/2026,1.00,
Phil Ernst,1166 Fever Tree Elderflower Tonic Water 6/4/200 mL Btl,83010 Bottle King (A) Glen Rock,Off Premise,8/27/2026,1.00,
Anthony Palmisano,1151 Fever Tree Ginger Beer 6/4/200 mL Btl,1012 Uncorked Wines & Spirits (West Milford),Off Premise,8/27/2026,1.00,
Shane Barreca,1165 Fever Tree Tonic Water Light 3/8/150 mL Can,92011 Bottle King (A) Ramsey,Off Premise,8/27/2026,1.00,
Phil Ernst,1159 Fever Tree Club Soda 3/8/150 mL Can,83010 Bottle King (A) Glen Rock,Off Premise,8/27/2026,1.00,
Phil Ernst,1160 Fever Tree Tonic Water 6/4/200 mL Btl,83010 Bottle King (A) Glen Rock,Off Premise,8/27/2026,1.00,
Phil Ernst,1170 Fever Tree Ginger Ale 3/8/150 mL Can,83010 Bottle King (A) Glen Rock,Off Premise,8/27/2026,1.00,
Phil Ernst,1153 Fever Tree Blood Orange Ginger Beer 6/4/200 mL Btl,80041 PRIME WINE CELLAR Liquor & Beer,Off Premise,8/27/2026,1.00,
Shane Barreca,1175 Fever Tree Cucumber 6/4/200 mL Btl,73003 Bottle King (A) Hillsdale,Off Premise,8/27/2026,1.00,
Shane Barreca,1160 Fever Tree Tonic Water 6/4/200 mL Btl,92008 Ramsey Wine & Liquor,Off Premise,8/27/2026,1.00,
Shane Barreca,1159 Fever Tree Club Soda 3/8/150 mL Can,92011 Bottle King (A) Ramsey,Off Premise,8/27/2026,1.00,
Shane Barreca,1174 Fever Tree Lime-Yuzu 6/4/200 mL Btl,60001 Bottle King (A) Dumont,Off Premise,8/27/2026,1.00,
Phil Ernst,1165 Fever Tree Tonic Water Light 3/8/150 mL Can,83010 Bottle King (A) Glen Rock,Off Premise,8/27/2026,1.00,
Shane Barreca,1160 Fever Tree Tonic Water 6/4/200 mL Btl,92011 Bottle King (A) Ramsey,Off Premise,8/27/2026,1.00,
Shane Barreca,1166 Fever Tree Elderflower Tonic Water 6/4/200 mL Btl,92008 Ramsey Wine & Liquor,Off Premise,8/27/2026,1.00,
Phil Ernst,1163 Fever Tree Tonic Water Light 6/4/200 mL Btl,83010 Bottle King (A) Glen Rock,Off Premise,8/27/2026,1.00,
Jim Heaney,1160 Fever Tree Tonic Water 6/4/200 mL Btl,24011 Shoppers Vineyard (A),Off Premise,8/27/2026,1.00,
Phil Ernst,1151 Fever Tree Ginger Beer 6/4/200 mL Btl,50009 Riverview Liq (P),Off Premise,8/27/2026,1.00,
Phil Ernst,1152 Fever Tree Light Ginger Beer 6/4/200 mL Btl,83010 Bottle King (A) Glen Rock,Off Premise,8/27/2026,1.00,
Shane Barreca,1159 Fever Tree Club Soda 3/8/150 mL Can,60001 Bottle King (A) Dumont,Off Premise,8/27/2026,1.00,
Jim Heaney,1157 Fever Tree Club Soda 6/4/200 mL Btl,24011 Shoppers Vineyard (A),Off Premise,8/27/2026,1.00,
Anthony Palmisano,1152 Fever Tree Light Ginger Beer 6/4/200 mL Btl,1012 Uncorked Wines & Spirits (West Milford),Off Premise,8/27/2026,1.00,
Anthony Palmisano,1166 Fever Tree Elderflower Tonic Water 6/4/200 mL Btl,1012 Uncorked Wines & Spirits (West Milford),Off Premise,8/27/2026,1.00,
Anthony Palmisano,1169 Fever Tree Ginger Ale 6/4/200 mL Btl,1012 Uncorked Wines & Spirits (West Milford),Off Premise,8/27/2026,1.00,
Anthony Palmisano,1168 Fever Tree mediterranean Tonic Water 6/4/200 mL Btl,1012 Uncorked Wines & Spirits (West Milford),Off Premise,8/27/2026,1.00,
Phil Ernst,1151 Fever Tree Ginger Beer 6/4/200 mL Btl,80041 PRIME WINE CELLAR Liquor & Beer,Off Premise,8/27/2026,1.00,
Shane Barreca,1165 Fever Tree Tonic Water Light 3/8/150 mL Can,92008 Ramsey Wine & Liquor,Off Premise,8/27/2026,1.00,
Shane Barreca,1172 Fever Tree Pink Grapefruit Soda 6/4/200 mL Btl,92008 Ramsey Wine & Liquor,Off Premise,8/27/2026,1.00,
Shane Barreca,1163 Fever Tree Tonic Water Light 6/4/200 mL Btl,92011 Bottle King (A) Ramsey,Off Premise,8/27/2026,1.00,
Jim Heaney,1166 Fever Tree Elderflower Tonic Water 6/4/200 mL Btl,24011 Shoppers Vineyard (A),Off Premise,8/27/2026,1.00,
Anthony Palmisano,1163 Fever Tree Tonic Water Light 6/4/200 mL Btl,1012 Uncorked Wines & Spirits (West Milford),Off Premise,8/27/2026,1.00,
Shane Barreca,1151 Fever Tree Ginger Beer 6/4/200 mL Btl,60001 Bottle King (A) Dumont,Off Premise,8/27/2026,1.00,
Phil Ernst,1173 Fever Tree Pink Grapefruit Soda 3/8/150 mL Can,83010 Bottle King (A) Glen Rock,Off Premise,8/27/2026,1.00,
Phil Ernst,1166 Fever Tree Elderflower Tonic Water 6/4/200 mL Btl,80041 PRIME WINE CELLAR Liquor & Beer,Off Premise,8/27/2026,1.00,
Shane Barreca,1160 Fever Tree Tonic Water 6/4/200 mL Btl,60001 Bottle King (A) Dumont,Off Premise,8/27/2026,1.00,
Anthony Palmisano,1160 Fever Tree Tonic Water 6/4/200 mL Btl,1012 Uncorked Wines & Spirits (West Milford),Off Premise,8/27/2026,1.00,
Phil Ernst,1153 Fever Tree Blood Orange Ginger Beer 6/4/200 mL Btl,83010 Bottle King (A) Glen Rock,Off Premise,8/27/2026,1.00,
Phil Ernst,1172 Fever Tree Pink Grapefruit Soda 6/4/200 mL Btl,83010 Bottle King (A) Glen Rock,Off Premise,8/27/2026,1.00,
Jayson Romine,1164 Fever Tree Tonic Water Light 8/500 mL Btl,230427 ShopRite Wine & Spirits of Newton#830,Off Premise,8/27/2026,1.00,
Shane Barreca,1155 Fever Tree Ginger Beer 3/8/150 mL Can,92011 Bottle King (A) Ramsey,Off Premise,8/27/2026,1.00,
Shane Barreca,1163 Fever Tree Tonic Water Light 6/4/200 mL Btl,60001 Bottle King (A) Dumont,Off Premise,8/27/2026,1.00,
Shane Barreca,1175 Fever Tree Cucumber 6/4/200 mL Btl,92011 Bottle King (A) Ramsey,Off Premise,8/27/2026,1.00,
Phil Ernst,1162 Fever Tree Tonic Water 3/8/150 mL Can,83010 Bottle King (A) Glen Rock,Off Premise,8/27/2026,1.00,
Shane Barreca,1155 Fever Tree Ginger Beer 3/8/150 mL Can,60001 Bottle King (A) Dumont,Off Premise,8/27/2026,1.00,
Jayson Romine,1161 Fever Tree Tonic Water 8/500 mL Btl,230427 ShopRite Wine & Spirits of Newton#830,Off Premise,8/27/2026,1.00,
Phil Ernst,1176 Fever Tree Sicilian Lemonade 6/4/200 mL Btl,83010 Bottle King (A) Glen Rock,Off Premise,8/27/2026,1.00,
Jayson Romine,1160 Fever Tree Tonic Water 6/4/200 mL Btl,230121 White Deer Inn,Off Premise,8/26/2026,1.00,
Chris Payton,1181 Fever Tree Classic Bloody Mary Mix 6/750 mL Btl,34009 The Wine Rack Hasbrouck Hts,Off Premise,8/26/2026,1.00,
Dave Ehlers,1151 Fever Tree Ginger Beer 6/4/200 mL Btl,56008 Bergenfield Liq & Fw,Off Premise,8/26/2026,1.00,
Phil Ernst,1162 Fever Tree Tonic Water 3/8/150 mL Can,80026 Stew Leonard's(A) Paramus Wine,Off Premise,8/26/2026,1.00,
Jayson Romine,1172 Fever Tree Pink Grapefruit Soda 6/4/200 mL Btl,230121 White Deer Inn,Off Premise,8/26/2026,1.00,
Mike Ast,1176 Fever Tree Sicilian Lemonade 6/4/200 mL Btl,12011 Bottle King (A) Wayne,Off Premise,8/25/2026,1.00,
Shane Barreca,1154 Fever Tree Ginger Beer 8/500 mL Btl,67005 Shoprite Liq (A)Northvle,Off Premise,8/25/2026,1.00,
John Neukum,1173 Fever Tree Pink Grapefruit Soda 3/8/150 mL Can,31019 Bj's Warehouse E Rutherfo,Off Premise,8/25/2026,1.00,
Phil Ernst,1157 Fever Tree Club Soda 6/4/200 mL Btl,20106 Super Wine Warehse(P)Pate,Off Premise,8/25/2026,1.00,
Mike Ast,1162 Fever Tree Tonic Water 3/8/150 mL Can,12011 Bottle King (A) Wayne,Off Premise,8/25/2026,1.00,
John Neukum,1178 Fever Tree Expresso Martini Mix 8/500 mL Btl,31019 Bj's Warehouse E Rutherfo,Off Premise,8/25/2026,1.00,
John Neukum,1167 Fever Tree Elderflower Tonic Water 3/8/150 mL Can,31019 Bj's Warehouse E Rutherfo,Off Premise,8/25/2026,1.00,
Mike Ast,1175 Fever Tree Cucumber 6/4/200 mL Btl,12011 Bottle King (A) Wayne,Off Premise,8/25/2026,1.00,
Michael Harboy,1160 Fever Tree Tonic Water 6/4/200 mL Btl,12005 Shay's Liquors,Off Premise,8/25/2026,1.00,
Phil Ernst,1162 Fever Tree Tonic Water 3/8/150 mL Can,20106 Super Wine Warehse(P)Pate,Off Premise,8/25/2026,1.00,
Shane Barreca,1160 Fever Tree Tonic Water 6/4/200 mL Btl,67005 Shoprite Liq (A)Northvle,Off Premise,8/25/2026,1.00,
John Neukum,1159 Fever Tree Club Soda 3/8/150 mL Can,31019 Bj's Warehouse E Rutherfo,Off Premise,8/25/2026,1.00,
Mike Ast,1165 Fever Tree Tonic Water Light 3/8/150 mL Can,12011 Bottle King (A) Wayne,Off Premise,8/25/2026,1.00,
Mike Ast,1155 Fever Tree Ginger Beer 3/8/150 mL Can,12011 Bottle King (A) Wayne,Off Premise,8/25/2026,1.00,
Phil Ernst,1159 Fever Tree Club Soda 3/8/150 mL Can,20106 Super Wine Warehse(P)Pate,Off Premise,8/25/2026,1.00,
John Neukum,1170 Fever Tree Ginger Ale 3/8/150 mL Can,31019 Bj's Warehouse E Rutherfo,Off Premise,8/25/2026,1.00,
Michael Harboy,1163 Fever Tree Tonic Water Light 6/4/200 mL Btl,12005 Shay's Liquors,Off Premise,8/25/2026,1.00,
Shane Barreca,1173 Fever Tree Pink Grapefruit Soda 3/8/150 mL Can,67005 Shoprite Liq (A)Northvle,Off Premise,8/25/2026,1.00,
Phil Ernst,1169 Fever Tree Ginger Ale 6/4/200 mL Btl,20106 Super Wine Warehse(P)Pate,Off Premise,8/25/2026,1.00,
