Sales Rep Name,Route,Account,Address,County,City,Prev Season CEs,Current Season LY CEs,Current Season CEs,As Of
Paul Mclaughlin,7,BIDDY OMALLEYS IRISH PUB,"191 PARIS AVE, NORTHVALE NJ",BERGEN,NORTHVALE,20.67,0.0,0.0,2026-09-08
Paul Mclaughlin,7,BRADYS FOX HUNT INN,"201 LIVINGSTON ST, NORTHVALE NJ",BERGEN,NORTHVALE,20.67,0.0,0.0,2026-09-08
Paul Mclaughlin,7,COZY TAVERN,"131 QUEEN ANNE RD, BOGOTA NJ",BERGEN,BOGOTA,6.89,4.59,0.0,2026-09-08
Paul Mclaughlin,7,EDGEWOOD COUNTRY CLUB,"449 RIVERVALE RD, WESTWOOD NJ",BERGEN,WESTWOOD,9.19,4.59,0.0,2026-09-08
Paul Mclaughlin,7,EMERSON HOTEL,"31 EMERSON PLZ E, EMERSON NJ",BERGEN,EMERSON,34.44,6.89,0.0,2026-09-08
Paul Mclaughlin,7,GRANT STREET CAFE,"25 GRANT AVE, DUMONT NJ",BERGEN,DUMONT,6.89,0.0,0.0,2026-09-08
Paul Mclaughlin,7,GREEN POINT,"15 RIVERVALE RD, WESTWOOD NJ",BERGEN,WESTWOOD,2.3,0.0,0.0,2026-09-08
Paul Mclaughlin,7,IRON HORSE,"20 WASHINGTON AVE, WESTWOOD NJ",BERGEN,WESTWOOD,13.78,0.0,0.0,2026-09-08
Paul Mclaughlin,7,KNICKERBOCKER COUNTRY CLUB,"188 KNICKERBOCKER RD, TENAFLY NJ",BERGEN,TENAFLY,20.67,0.0,0.0,2026-09-08
Paul Mclaughlin,7,PUB 178,"178 CEDAR LN, TEANECK NJ",BERGEN,TEANECK,13.78,6.89,0.0,2026-09-08
Paul Mclaughlin,7,RIVER & HENLEY,"704 RIVER RD, NEW MILFORD NJ",BERGEN,NEW MILFORD,27.56,27.56,0.0,2026-09-08
Paul Mclaughlin,7,ROCKLEIGH FIELD CLUB,"26 PARIS AVE, NORTHVALE NJ",BERGEN,NORTHVALE,2.3,0.0,0.0,2026-09-08
Paul Mclaughlin,7,STRAPHANGER SALOON,"126 ANDERSON ST, HACKENSACK NJ",BERGEN,HACKENSACK,6.89,6.89,0.0,2026-09-08
Brian Sengebush,11,ADAMS BEER GARDEN,"123 HIBERNIA AVE, ROCKAWAY NJ",MORRIS,ROCKAWAY,6.89,13.78,0.0,2026-09-08
Brian Sengebush,11,BEAR BROOK VALLEY,"23 PLAYERS BLVD, NEWTON NJ",SUSSEX,NEWTON,6.89,0.0,0.0,2026-09-08
Brian Sengebush,11,BELLA ITALIA RESTAURANT & PIZZERIA,"448 RTE 206 S, NEWTON NJ",SUSSEX,NEWTON,13.78,6.89,0.0,2026-09-08
Brian Sengebush,11,FARMSTEAD GOLF,"88 LAWRENCE RD, LAFAYETTE NJ",SUSSEX,LAFAYETTE,41.33,27.56,0.0,2026-09-08
Brian Sengebush,11,FOUNTAIN HOUSE,"439 RTE 94, NEWTON NJ",SUSSEX,NEWTON,2.3,6.89,0.0,2026-09-08
Brian Sengebush,11,INDUSTRY RESTAURANT,"6 N VILLAGE BLVD, SPARTA NJ",SUSSEX,SPARTA,2.3,0.0,0.0,2026-09-08
Brian Sengebush,11,LAYTON HOTEL TAVERN,"124 CO RD 560, LAYTON NJ",SUSSEX,LAYTON,6.89,6.89,0.0,2026-09-08
Brian Sengebush,11,OLIVE GARDEN ITALIAN RESTAURANT,"323 MOUNT HOPE AVE, ROCKAWAY NJ",MORRIS,ROCKAWAY,13.78,13.78,0.0,2026-09-08
Brian Sengebush,11,POLOS BAR & GRILL,"50 SR 183, NETCONG NJ",MORRIS,NETCONG,11.48,32.15,0.0,2026-09-08
Brian Sengebush,11,RESERVOIR TAVERN,"90 PARSIPPANY BLVD, BOONTON NJ",MORRIS,BOONTON,41.33,48.22,0.0,2026-09-08
Brian Sengebush,11,ROCK ISLAND LAKE CLUB,"485 GLEN RD, SPARTA NJ",SUSSEX,SPARTA,6.89,0.0,0.0,2026-09-08
Brian Sengebush,11,SAM ADAMS PUB,"BLDG 121A FL, PICATINNY ARSENAL NJ",MORRIS,PICATINNY ARSENAL,2.3,9.19,0.0,2026-09-08
Brian Sengebush,11,SKYLANDS STADIUM,"94 CHAMPION PLACE STE 11, AUGUSTA NJ",SUSSEX,AUGUSTA,20.67,4.59,0.0,2026-09-08
Brian Sengebush,11,ST MORITZ GRILL AND BAR,"9 WHITE DEER PLAZA, SPARTA NJ",SUSSEX,SPARTA,20.67,20.67,0.0,2026-09-08
Brian Sengebush,11,THE EXCHANGE,"160 E MAIN ST, ROCKAWAY NJ",MORRIS,ROCKAWAY,27.56,27.56,0.0,2026-09-08
Klejdi Lamo,12,SMITHS TAVERN,"173 E MAIN ST, ROCKAWAY NJ",MORRIS,ROCKAWAY,20.67,20.67,0.0,2026-09-08
Robin Feldman,19,4 SEASONS RESTURANT,"322 S MAIN ST, WHARTON NJ",MORRIS,WHARTON,2.3,0.0,0.0,2026-09-08
Robin Feldman,19,CANDLEWICK,"179 PATERSON AVE, EAST RUTHERFORD NJ",BERGEN,EAST RUTHERFORD,11.48,2.3,0.0,2026-09-08
Robin Feldman,19,HAPGOODS,"44 MIDVALE RD, MOUNTAIN LAKES NJ",MORRIS,MOUNTAIN LAKES,4.59,0.0,0.0,2026-09-08
Robin Feldman,19,INDIAN TRAIL CLUB,"830 FRANKLIN LAKES RD, FRANKLIN LAKES NJ",BERGEN,FRANKLIN LAKES,13.78,25.26,0.0,2026-09-08
Robin Feldman,19,KNIGHTS OF COLUMBUS #,"48 MECHANIC ST, RAMSEY NJ",BERGEN,RAMSEY,27.56,27.56,0.0,2026-09-08
Robin Feldman,19,MARKS VILLAGE INN,"422 RUNNYMEDE DR, WAYNE NJ",PASSAIC,WAYNE,4.59,22.96,0.0,2026-09-08
Robin Feldman,19,MASONIC TEMPLE,"316 RIVERSIDE AVE, LYNDHURST NJ",BERGEN,LYNDHURST,2.3,0.0,0.0,2026-09-08
Robin Feldman,19,MONTAMMY GOLF CLUB,"ROUTE 9 W, ALPINE NJ",BERGEN,ALPINE,4.59,2.3,0.0,2026-09-08
Robin Feldman,19,POLISH AMERICAN CLUB,"730 NEW JERSEY AVE, LYNDHURST NJ",BERGEN,LYNDHURST,2.3,0.0,0.0,2026-09-08
Robin Feldman,19,THE CRAFTSMAN,"6-09 MAPLE AVE, FAIR LAWN NJ",BERGEN,FAIR LAWN,6.89,0.0,0.0,2026-09-08
Robin Feldman,19,VESTA WOOD FIRED PIZZA,"64 HOBOKEN RD, EAST RUTHERFORD NJ",BERGEN,EAST RUTHERFORD,2.3,0.0,0.0,2026-09-08
Robin Feldman,19,VETERANS OF FOREIGN WARS #809,"100 MAIN ST, LITTLE FERRY NJ",BERGEN,LITTLE FERRY,2.3,0.0,0.0,2026-09-08
Dan Lagala,20,354 STEAKHOUSE,"354 LAWTON AVE, CLIFFSIDE PARK NJ",BERGEN,CLIFFSIDE PARK,6.89,6.89,0.0,2026-09-08
Dan Lagala,20,690 PARK,"690 ANDERSON AVE, CLIFFSIDE PARK NJ",BERGEN,CLIFFSIDE PARK,2.3,2.3,0.0,2026-09-08
Dan Lagala,20,DOUBLETREE HOTEL #,"2117 RTE 4 E, FORT LEE NJ",BERGEN,FORT LEE,13.78,6.89,0.0,2026-09-08
Chris Payton,23,FIESTA,"255 RTE 17 S, WOOD-RIDGE NJ",BERGEN,WOOD-RIDGE,2.3,0.0,0.0,2026-09-08
Anthony Palmisano,26,DBOATHAUS,"322 LAKESIDE RD, HEWITT NJ",PASSAIC,HEWITT,2.3,20.67,0.0,2026-09-08
Anthony Palmisano,26,SKYLANDS CRAFT BEER & WINE GARDEN,"447 RTE 284, WANTAGE NJ",SUSSEX,WANTAGE,9.19,6.89,0.0,2026-09-08
Anthony Palmisano,26,THE DAILY PLANET,"526 ROOSEVELT AVE, OAK RIDGE NJ",MORRIS,OAK RIDGE,18.37,13.78,0.0,2026-09-08
Anthony Palmisano,26,THE GREEN OLIVE,"1 LIBERTYVILLE RD, SUSSEX NJ",SUSSEX,SUSSEX,13.78,20.67,0.0,2026-09-08
Anthony Palmisano,26,THE NEW JESSIES KETTLE,"1555 GREENWOOD LAKE TPKE, HEWITT NJ",PASSAIC,HEWITT,6.89,20.67,0.0,2026-09-08
Anthony Palmisano,26,VETERANS OF FOREIGN WARS #8441,"313 ST RTE 94, VERNON NJ",SUSSEX,VERNON,2.3,0.0,0.0,2026-09-08
Anthony Palmisano,26,WHISKEY WOLF TAVERN,"399 LAKE SHORE DR, HEWITT NJ",PASSAIC,HEWITT,2.3,9.19,0.0,2026-09-08
Anthony Palmisano,26,ZS CASUAL DINING,"87 NJ 23, HAMBURG NJ",SUSSEX,HAMBURG,6.89,4.59,0.0,2026-09-08
Nick Melissari,27,1 REPUBLIK,"26 RIDGE RD, NORTH ARLINGTON NJ",BERGEN,NORTH ARLINGTON,20.67,13.78,0.0,2026-09-08
Nick Melissari,27,AMERICAN LEGION #,"46 FRANKLIN TPKE, WALDWICK NJ",BERGEN,WALDWICK,2.3,2.3,0.0,2026-09-08
Nick Melissari,27,APPLEBEES NEIGHBORHOOD GRILL & BAR,"17 E RIDGEWOOD AVE, PARAMUS NJ",BERGEN,PARAMUS,20.67,41.33,0.0,2026-09-08
Nick Melissari,27,APPLEBEES NEIGHBORHOOD GRILL & BAR,"450 HACKENSACK AVE, HACKENSACK NJ",BERGEN,HACKENSACK,27.56,41.33,0.0,2026-09-08
Nick Melissari,27,ARTUROS RESTAURANT,"41 CENTRAL AVE, MIDLAND PARK NJ",BERGEN,MIDLAND PARK,6.89,4.59,0.0,2026-09-08
Nick Melissari,27,BLACKJACK MULLIGANS,"237 DIAMOND BRIDGE AVE, HAWTHORNE NJ",PASSAIC,HAWTHORNE,16.07,27.56,0.0,2026-09-08
Nick Melissari,27,COV,"115 RIVER RD, EDGEWATER NJ",BERGEN,EDGEWATER,13.78,0.0,0.0,2026-09-08
Nick Melissari,27,FIREHOUSE FAMILY RESTAURANT,"42 PLAUDERVILLE AVE, GARFIELD NJ",BERGEN,GARFIELD,6.89,0.0,0.0,2026-09-08
Nick Melissari,27,HOLIDAY BOWL,"29 SPRUCE ST, OAKLAND NJ",BERGEN,OAKLAND,13.78,0.0,0.0,2026-09-08
Nick Melissari,27,MARCUS LIVE BAR & GRILLE,"1 AMERICAN DREAM WAY, EAST RUTHERFORD NJ",BERGEN,EAST RUTHERFORD,27.56,22.97,0.0,2026-09-08
Nick Melissari,27,MR BRUNOS PIZZERIA,"439 VALLEY BROOK AVE, LYNDHURST NJ",BERGEN,LYNDHURST,2.3,4.59,0.0,2026-09-08
Nick Melissari,27,ROMA RESTAURANT,"33 CRYSTAL ST, NORTH ARLINGTON NJ",BERGEN,NORTH ARLINGTON,6.89,4.59,0.0,2026-09-08
Nick Melissari,27,ROXANNES,"150 FRANKLIN TPKE, MAHWAH NJ",BERGEN,MAHWAH,13.78,20.67,0.0,2026-09-08
Nick Melissari,27,RUTHS CHRIS STEAK HOUSE #7364,"83 W SPRING VALLEY AVE, MAYWOOD NJ",BERGEN,MAYWOOD,13.78,13.78,0.0,2026-09-08
Nick Melissari,27,THE GAME ROOM,"1 AMERICAN DREAM WAY, EAST RUTHERFORD NJ",BERGEN,EAST RUTHERFORD,6.89,6.89,0.0,2026-09-08
Nick Melissari,27,THE HIVE BAR & BISTRO,"142 OUTWATER LN, GARFIELD NJ",BERGEN,GARFIELD,4.59,4.59,0.0,2026-09-08
Route 90 (unassigned),90,KNIGHTS OF COLUMBUS #,"235 ROCHELLE AVE, ROCHELLE PARK NJ",BERGEN,ROCHELLE PARK,6.89,2.3,0.0,2026-09-08
