Sales Rep Assigned,Customer ID,Customer Name,Shipping Address,City,On Premise,Brand Family,Product Num Name,Cases   2025,Buyer Count   2025,Cases   2026,Buyer Count   2026
Allison Scott,10010,Sunset Valley G C (A),47 W Sunset Road,Pompton Plains,On Premise,Sun Cruiser,200634 Sun Cruiser Classic Iced Tea 1/24/12 oz Loose Can,25.00,1,26.00,1
Allison Scott,8004,The Side Door (P),33 Colfax Ave,Pompton Lakes,On Premise,Sun Cruiser,200679 Sun Cruiser Pink Lemonade 1/24/12 oz Can,,,15.00,1
Allison Scott,12043,Outback Stkhse(P)Wayne,189 Berdan Avenue,Wayne,On Premise,Sun Cruiser,200634 Sun Cruiser Classic Iced Tea 1/24/12 oz Loose Can,,,12.00,1
Allison Scott,24019,Sharky's Wings(P),545 Highland Ave,Clifton,On Premise,White Claw,8597 White Claw Hard Seltzer Variety #2 2/12/12 oz Can,8.00,1,7.00,1
Allison Scott,8004,The Side Door (P),33 Colfax Ave,Pompton Lakes,On Premise,Sun Cruiser,200632 Sun Cruiser Classic Iced Tea 6/4/12 oz Can,3.00,1,,
Allison Scott,24048,Dante's,955 Valley Rd,Clifton,On Premise,Sun Cruiser,200636 Sun Cruiser Classic Iced Tea 3/8/12oz Can,5.00,1,,
Allison Scott,24060,Clifton Billiards (Z),1158 Main Ave,Clifton,On Premise,White Claw,8580 White Claw Hard Seltzer Natural Lime 4/6/12 oz Can,13.00,1,1.00,1
Allison Scott,25078,The Shannon Rose (A),98 Kingsland Rd,Clifton,On Premise,Sun Cruiser,200678 Sun Cruiser Lemonade & Ice Tea 1/24/12 oz Can,,,1.00,1
Allison Scott,11007,Meadows Golf Club(P),79 2 Bridges Rd,Lincoln Park,On Premise,Carbliss,200886 Carbliss Lemon Tea 6/4/12 oz Can,,,3.00,1
Allison Scott,14008,The Barnyard and Carriage House,754 Totowa Road,Totowa,On Premise,Carbliss,200891 Carbliss Pineapple 6/4/12 oz Can,,,2.00,1
Allison Scott,17009,Jimmy Geez (P),436 Belmont Ave,Haledon,On Premise,White Claw,8588 White Claw Hard Seltzer Black Cherry 2/12/12 oz Can,7.00,1,13.00,1
Allison Scott,3002,The Celtic Knot,72 Haskell Ave,Haskell,On Premise,White Claw,8588 White Claw Hard Seltzer Black Cherry 2/12/12 oz Can,32.00,1,50.00,1
Allison Scott,15074,Bask 46,1530 Rt 46 West,Woodland Park,On Premise,Sun Cruiser,200665 Sun Cruiser Iced Tea Variety 2/12/12 oz Can,4.00,1,,
Allison Scott,13003,Maggie's Town Tav.(P),10 Van Ness Ave,Little Falls,On Premise,Sun Cruiser,200636 Sun Cruiser Classic Iced Tea 3/8/12oz Can,2.00,1,,
Allison Scott,22004,Neighbors,329 Trenton Avenue,Paterson,On Premise,Sun Cruiser,200634 Sun Cruiser Classic Iced Tea 1/24/12 oz Loose Can,,,8.00,1
Allison Scott,19021,The Front Porch (Z),217 Wagaraw Road,Hawthorne,On Premise,Sun Cruiser,200633 Sun Cruiser Lemonade & Iced Tea 6/4/12 oz Can,1.00,1,,
Allison Scott,24019,Sharky's Wings(P),545 Highland Ave,Clifton,On Premise,White Claw,8600 White Claw Hard Seltzer Variety #3 2/12/12 oz Can,3.00,1,3.00,1
Allison Scott,14008,The Barnyard and Carriage House,754 Totowa Road,Totowa,On Premise,Carbliss,200884 Carbliss Cranberry 6/4/12 oz Can,,,2.00,1
Allison Scott,14002,Applebee's (Totowa) (A),465 Rt 46 West,Totowa,On Premise,White Claw,8595 White Claw Hard Seltzer Mango 2/12/12 oz Can,3.00,1,3.00,1
Allison Scott,24026,Rock Bar,414 Main Ave,Clifton,On Premise,White Claw,8587 White Claw Hard Seltzer Raspberry 4/6/12 oz Can,16.00,1,18.00,1
Allison Scott,11007,Meadows Golf Club(P),79 2 Bridges Rd,Lincoln Park,On Premise,Carbliss,200883 Carbliss Blood Orange 6/4/12 oz Can,,,3.00,1
Allison Scott,21043,Duffy's Tavern (Z),856 River Street,Paterson,On Premise,Sun Cruiser,200633 Sun Cruiser Lemonade & Iced Tea 6/4/12 oz Can,2.00,1,,
Allison Scott,11007,Meadows Golf Club(P),79 2 Bridges Rd,Lincoln Park,On Premise,White Claw,8583 White Claw Hard Seltzer Variety #1 2/12/12 oz Can,5.00,1,,
Allison Scott,15074,Bask 46,1530 Rt 46 West,Woodland Park,On Premise,Sun Cruiser,200678 Sun Cruiser Lemonade & Ice Tea 1/24/12 oz Can,,,41.00,1
Allison Scott,19016,Jiggle's,105 Mohawk Ave,Hawthorne,On Premise,White Claw,8581 White Claw Hard Seltzer Black Cherry 4/6/12 oz Can,7.00,1,,
Allison Scott,23013,Vfw 7165 (P),491 Valley Rd,Clifton,On Premise,Carbliss,200882 Carbliss Black Raspberry 6/4/12 oz Can,,,1.00,1
Allison Scott,8015,Thatcher Mc Ghees (A),6 Wanaque Ave,Pompton Lakes,On Premise,Sun Cruiser,200634 Sun Cruiser Classic Iced Tea 1/24/12 oz Loose Can,30.00,1,147.00,1
Allison Scott,25036,Dingbatz (P),620 Van Houten Ave,Clifton,On Premise,White Claw,8583 White Claw Hard Seltzer Variety #1 2/12/12 oz Can,8.00,1,9.00,1
Allison Scott,17006,The Yard,289 Belmont Ave,Haledon,On Premise,Sun Cruiser,200634 Sun Cruiser Classic Iced Tea 1/24/12 oz Loose Can,5.00,1,19.00,1
Allison Scott,25049,Yesterdays (P),70 Main Ave,Clifton,On Premise,White Claw,8587 White Claw Hard Seltzer Raspberry 4/6/12 oz Can,15.00,1,1.00,1
Allison Scott,8004,The Side Door (P),33 Colfax Ave,Pompton Lakes,On Premise,White Claw,8619 White Claw Blackberry 4/6/12 oz Can,25.00,1,18.00,1
Allison Scott,8015,Thatcher Mc Ghees (A),6 Wanaque Ave,Pompton Lakes,On Premise,Carbliss,200883 Carbliss Blood Orange 6/4/12 oz Can,,,1.00,1
Allison Scott,12008,North Jersey C C,594 Hamburg Turnpike,Wayne,On Premise,White Claw,8588 White Claw Hard Seltzer Black Cherry 2/12/12 oz Can,,,3.00,1
Allison Scott,25036,Dingbatz (P),620 Van Houten Ave,Clifton,On Premise,Carbliss,200884 Carbliss Cranberry 6/4/12 oz Can,,,1.00,1
Allison Scott,24029,Dingo's Den (P),615 Van Houten Ave,Clifton,On Premise,White Claw,8597 White Claw Hard Seltzer Variety #2 2/12/12 oz Can,29.00,1,40.00,1
Allison Scott,13003,Maggie's Town Tav.(P),10 Van Ness Ave,Little Falls,On Premise,Sun Cruiser,200678 Sun Cruiser Lemonade & Ice Tea 1/24/12 oz Can,,,10.00,1
Allison Scott,5004,Outback,1538 NJ-23,Butler,On Premise,Sun Cruiser,200634 Sun Cruiser Classic Iced Tea 1/24/12 oz Loose Can,1.00,1,,
Allison Scott,14008,The Barnyard and Carriage House,754 Totowa Road,Totowa,On Premise,Carbliss,200890 Carbliss Peach 6/4/12 oz Can,,,2.00,1
Allison Scott,24031,Tommy's Tavern & Tap (Clifton),826 Route 3 Clifton Nj,Clifton,On Premise,White Claw,8582 White Claw Hard Seltzer Ruby Grapefruit 4/6/12 oz Can,2.00,1,,
Allison Scott,58005,Feathers (A),77 Kinderkamack Rd,River Edge,On Premise,White Claw,8597 White Claw Hard Seltzer Variety #2 2/12/12 oz Can,36.00,1,47.00,1
Allison Scott,10010,Sunset Valley G C (A),47 W Sunset Road,Pompton Plains,On Premise,Sun Cruiser,200678 Sun Cruiser Lemonade & Ice Tea 1/24/12 oz Can,,,32.00,1
Allison Scott,10001,cherry's,23 NJ-23,Pequannock,On Premise,White Claw,8588 White Claw Hard Seltzer Black Cherry 2/12/12 oz Can,,,1.00,1
Allison Scott,3002,The Celtic Knot,72 Haskell Ave,Haskell,On Premise,Carbliss,200884 Carbliss Cranberry 6/4/12 oz Can,,,2.00,1
Allison Scott,15036,River Terrace Inn(P),36 Totowa Ave,Paterson,On Premise,Sun Cruiser,200634 Sun Cruiser Classic Iced Tea 1/24/12 oz Loose Can,,,17.00,1
Allison Scott,24019,Sharky's Wings(P),545 Highland Ave,Clifton,On Premise,Sun Cruiser,200641 Sun Cruiser Vodka Pink Lemonade 3/8/12 oz Can,1.00,1,,
Allison Scott,12026,WAYNE ALE HOUSE & PIZZA,611 Ratzer Road,Wayne,On Premise,Sun Cruiser,200634 Sun Cruiser Classic Iced Tea 1/24/12 oz Loose Can,4.00,1,18.00,1
Allison Scott,14008,The Barnyard and Carriage House,754 Totowa Road,Totowa,On Premise,White Claw,8581 White Claw Hard Seltzer Black Cherry 4/6/12 oz Can,2.00,1,,
Allison Scott,12022,Grasshopper Too (A),26 Erie Ave,Wayne,On Premise,Carbliss,200882 Carbliss Black Raspberry 6/4/12 oz Can,,,1.00,1
Allison Scott,14006,46 Lounge (P),300 Us-46,Totowa,On Premise,White Claw,8580 White Claw Hard Seltzer Natural Lime 4/6/12 oz Can,2.00,1,1.00,1
Allison Scott,10007,Bardis (P),149 Newark Pompton Tpke,Pequannock,On Premise,Sun Cruiser,200636 Sun Cruiser Classic Iced Tea 3/8/12oz Can,15.00,1,5.00,1
Allison Scott,12064,In The Drink@Passaic Gc,209 Totowa Rd,Wayne,On Premise,White Claw,8583 White Claw Hard Seltzer Variety #1 2/12/12 oz Can,1.00,1,,
Allison Scott,24031,Tommy's Tavern & Tap (Clifton),826 Route 3 Clifton Nj,Clifton,On Premise,Sun Cruiser,200664 Sun Cruiser Lemonade Variety 3/8/12 oz Can,0.00,1,,
Allison Scott,3007,Kitchen & Beer Bar,1093 Ringwood Ave,Haskell,On Premise,Carbliss,200890 Carbliss Peach 6/4/12 oz Can,,,1.00,1
Allison Scott,12020,Lakeside Drive Tavern,56 Lake Drive West,Wayne,On Premise,Sun Cruiser,200634 Sun Cruiser Classic Iced Tea 1/24/12 oz Loose Can,,,1.00,1
Allison Scott,15004,Blackjack Mulligan's Public House,1145 Mcbride Ave,Woodland Park,On Premise,White Claw,8603 White Claw Hard Seltzer Watermelon 4/6/12 oz Can,20.00,1,12.00,1
Allison Scott,25027,Sportzone B&G (P),593 Van Houten Ave,Clifton,On Premise,Carbliss,200891 Carbliss Pineapple 6/4/12 oz Can,,,1.00,1
Allison Scott,25056,Emerald Corner (Z),12 Oak St,Clifton,On Premise,Carbliss,200883 Carbliss Blood Orange 6/4/12 oz Can,,,1.00,1
Allison Scott,17009,Jimmy Geez (P),436 Belmont Ave,Haledon,On Premise,White Claw,8581 White Claw Hard Seltzer Black Cherry 4/6/12 oz Can,6.00,1,4.00,1
Allison Scott,12038,Tommy's Tavern + Tap (Wayne),71 NJ-23,Wayne,On Premise,Sun Cruiser,200678 Sun Cruiser Lemonade & Ice Tea 1/24/12 oz Can,,,9.00,1
Allison Scott,12034,"Dave & Buster's Nj, Inc",310 Willowbrook Mall,Wayne,On Premise,White Claw,8581 White Claw Hard Seltzer Black Cherry 4/6/12 oz Can,26.00,1,32.00,1
Allison Scott,15074,Bask 46,1530 Rt 46 West,Woodland Park,On Premise,Sun Cruiser,200679 Sun Cruiser Pink Lemonade 1/24/12 oz Can,,,8.00,1
Allison Scott,11007,Meadows Golf Club(P),79 2 Bridges Rd,Lincoln Park,On Premise,White Claw,8588 White Claw Hard Seltzer Black Cherry 2/12/12 oz Can,,,1.00,1
Allison Scott,12054,Red Lobster 225 Wayne,520 Us-46,Wayne,On Premise,White Claw,8588 White Claw Hard Seltzer Black Cherry 2/12/12 oz Can,,,1.00,1
Allison Scott,58005,Feathers (A),77 Kinderkamack Rd,River Edge,On Premise,White Claw,8600 White Claw Hard Seltzer Variety #3 2/12/12 oz Can,39.00,1,50.00,1
Allison Scott,8004,The Side Door (P),33 Colfax Ave,Pompton Lakes,On Premise,Carbliss,200891 Carbliss Pineapple 6/4/12 oz Can,,,1.00,1
Allison Scott,24044,Pub 46 B & G (Z),1081 Rt 46 East,Clifton,On Premise,White Claw,8588 White Claw Hard Seltzer Black Cherry 2/12/12 oz Can,1.00,1,,
Allison Scott,10007,Bardis (P),149 Newark Pompton Tpke,Pequannock,On Premise,White Claw,8581 White Claw Hard Seltzer Black Cherry 4/6/12 oz Can,20.00,1,13.00,1
Allison Scott,3002,The Celtic Knot,72 Haskell Ave,Haskell,On Premise,Carbliss,200881 Carbliss Black Cherry 6/4/12 oz Can,,,4.00,1
Allison Scott,3007,Kitchen & Beer Bar,1093 Ringwood Ave,Haskell,On Premise,Sun Cruiser,200678 Sun Cruiser Lemonade & Ice Tea 1/24/12 oz Can,,,24.00,1
Allison Scott,17001,Underdog Lounge(P),4 Church Street,Haledon,On Premise,White Claw,8588 White Claw Hard Seltzer Black Cherry 2/12/12 oz Can,,,7.00,1
Allison Scott,7003,Blu Ale House,92 NJ-23,Riverdale,On Premise,Sun Cruiser,200678 Sun Cruiser Lemonade & Ice Tea 1/24/12 oz Can,,,28.00,1
Allison Scott,24027,Mario's Rest,710 Van Houten Ave,Clifton,On Premise,White Claw,8588 White Claw Hard Seltzer Black Cherry 2/12/12 oz Can,,,2.00,1
Allison Scott,24019,Sharky's Wings(P),545 Highland Ave,Clifton,On Premise,Sun Cruiser,200668 Sun Cruiser Lemonade Variety Pack 2/12/12 oz Can,,,31.00,1
Allison Scott,14008,The Barnyard and Carriage House,754 Totowa Road,Totowa,On Premise,White Claw,8589 White Claw Hard Seltzer Mango 4/6/12 oz Can,2.00,1,,
Allison Scott,19011,Las Maravillas Restaurant,410 Wagaraw Road,Hawthorne,On Premise,White Claw,9083 White Claw 0% Alc Variety Pack 2/12/12 oz Can,,,4.00,1
Allison Scott,25056,Emerald Corner (Z),12 Oak St,Clifton,On Premise,White Claw,9083 White Claw 0% Alc Variety Pack 2/12/12 oz Can,,,6.00,1
Allison Scott,12026,WAYNE ALE HOUSE & PIZZA,611 Ratzer Road,Wayne,On Premise,Sun Cruiser,200636 Sun Cruiser Classic Iced Tea 3/8/12oz Can,1.00,1,,
Allison Scott,8004,The Side Door (P),33 Colfax Ave,Pompton Lakes,On Premise,Sun Cruiser,200641 Sun Cruiser Vodka Pink Lemonade 3/8/12 oz Can,,,13.00,1
Allison Scott,12064,In The Drink@Passaic Gc,209 Totowa Rd,Wayne,On Premise,White Claw,8588 White Claw Hard Seltzer Black Cherry 2/12/12 oz Can,13.00,1,,
Allison Scott,9002,Tavern 5_2,710 Newark Pompton Turnpi,Pompton Plains,On Premise,White Claw,8594 White Claw Hard Seltzer Mango 1/24/16 oz,6.00,1,2.00,1
Allison Scott,12020,Lakeside Drive Tavern,56 Lake Drive West,Wayne,On Premise,Sun Cruiser,200678 Sun Cruiser Lemonade & Ice Tea 1/24/12 oz Can,,,1.00,1
Allison Scott,25083,Rutt's Hut (A),417 River Rd,Clifton,On Premise,White Claw,8595 White Claw Hard Seltzer Mango 2/12/12 oz Can,4.00,1,5.00,1
Allison Scott,11011,Sunset Pub & Grill(Z),425 Beaverbrook Rd,Lincoln Park,On Premise,Carbliss,200882 Carbliss Black Raspberry 6/4/12 oz Can,,,2.00,1
Allison Scott,25052,Uno Chicago Grl (A)Clifto,426 Rt 3 W.River Frontcnt,Clifton,On Premise,White Claw,9082 White Claw 0% Alc Mango Passionfruit 4/6/12 oz Can,1.00,1,,
Allison Scott,12022,Grasshopper Too (A),26 Erie Ave,Wayne,On Premise,White Claw,8634 White Claw Hard Seltzer Peach 2/12/12 oz Can,1.00,1,,
Allison Scott,12038,Tommy's Tavern + Tap (Wayne),71 NJ-23,Wayne,On Premise,White Claw,8582 White Claw Hard Seltzer Ruby Grapefruit 4/6/12 oz Can,0.00,1,,
Allison Scott,19021,The Front Porch (Z),217 Wagaraw Road,Hawthorne,On Premise,Sun Cruiser,200678 Sun Cruiser Lemonade & Ice Tea 1/24/12 oz Can,,,3.00,1
Allison Scott,15074,Bask 46,1530 Rt 46 West,Woodland Park,On Premise,Sun Cruiser,200637 Sun Cruiser Half & Half Lemonade Iced Tea 3/8/12 oz Can,31.00,1,10.00,1
Allison Scott,11007,Meadows Golf Club(P),79 2 Bridges Rd,Lincoln Park,On Premise,Carbliss,200882 Carbliss Black Raspberry 6/4/12 oz Can,,,3.00,1
Allison Scott,19021,The Front Porch (Z),217 Wagaraw Road,Hawthorne,On Premise,Sun Cruiser,200636 Sun Cruiser Classic Iced Tea 3/8/12oz Can,3.00,1,,
Allison Scott,25056,Emerald Corner (Z),12 Oak St,Clifton,On Premise,White Claw,8580 White Claw Hard Seltzer Natural Lime 4/6/12 oz Can,,,7.00,1
Allison Scott,3007,Kitchen & Beer Bar,1093 Ringwood Ave,Haskell,On Premise,Sun Cruiser,200634 Sun Cruiser Classic Iced Tea 1/24/12 oz Loose Can,1.00,1,3.00,1
Allison Scott,15036,River Terrace Inn(P),36 Totowa Ave,Paterson,On Premise,White Claw,8588 White Claw Hard Seltzer Black Cherry 2/12/12 oz Can,11.00,1,,
Allison Scott,24022,Applebee's Clifton,375 Rte 3 E,Clifton,On Premise,White Claw,9081 White Claw 0% Alc Black Cherry Cranberry 4/6/12 oz Can,1.00,1,,
Allison Scott,3007,Kitchen & Beer Bar,1093 Ringwood Ave,Haskell,On Premise,Sun Cruiser,200635 Sun Cruiser Peach Iced Tea 6/4/12 oz Can,2.00,1,,
Allison Scott,12051,Packanack Golf (P),7 Osborne Terrace,Wayne,On Premise,Sun Cruiser,200679 Sun Cruiser Pink Lemonade 1/24/12 oz Can,,,19.00,1
Allison Scott,25056,Emerald Corner (Z),12 Oak St,Clifton,On Premise,White Claw,8587 White Claw Hard Seltzer Raspberry 4/6/12 oz Can,31.00,1,67.00,1
Allison Scott,15036,River Terrace Inn(P),36 Totowa Ave,Paterson,On Premise,White Claw,8609 White Claw Watermelon 24/1/16 oz,6.00,1,,
Allison Scott,24060,Clifton Billiards (Z),1158 Main Ave,Clifton,On Premise,White Claw,8581 White Claw Hard Seltzer Black Cherry 4/6/12 oz Can,9.00,1,2.00,1
Allison Scott,3007,Kitchen & Beer Bar,1093 Ringwood Ave,Haskell,On Premise,Sun Cruiser,200632 Sun Cruiser Classic Iced Tea 6/4/12 oz Can,1.00,1,,
Allison Scott,8006,pompton crafthouse,23 Wanaque Ave,Pompton Lakes,On Premise,Carbliss,200882 Carbliss Black Raspberry 6/4/12 oz Can,,,1.00,1
Allison Scott,22016,Johnny A's (P) Hitchn Pos,95 Barclay Street,Paterson,On Premise,White Claw,8581 White Claw Hard Seltzer Black Cherry 4/6/12 oz Can,32.00,1,44.00,1
Allison Scott,24026,Rock Bar,414 Main Ave,Clifton,On Premise,White Claw,8639 White Claw Pineapple 4/6/12 oz Can,,,4.00,1
Allison Scott,24056,Jaime's (A),915 Bloomfield Ave,Clifton,On Premise,Sun Cruiser,200636 Sun Cruiser Classic Iced Tea 3/8/12oz Can,2.00,1,,
Allison Scott,25027,Sportzone B&G (P),593 Van Houten Ave,Clifton,On Premise,White Claw,8597 White Claw Hard Seltzer Variety #2 2/12/12 oz Can,1.00,1,,
Allison Scott,25052,Uno Chicago Grl (A)Clifto,426 Rt 3 W.River Frontcnt,Clifton,On Premise,White Claw,8588 White Claw Hard Seltzer Black Cherry 2/12/12 oz Can,25.00,1,23.00,1
Allison Scott,25027,Sportzone B&G (P),593 Van Houten Ave,Clifton,On Premise,White Claw,8588 White Claw Hard Seltzer Black Cherry 2/12/12 oz Can,6.00,1,7.00,1
Allison Scott,12026,WAYNE ALE HOUSE & PIZZA,611 Ratzer Road,Wayne,On Premise,Sun Cruiser,200633 Sun Cruiser Lemonade & Iced Tea 6/4/12 oz Can,3.00,1,,
Allison Scott,17009,Jimmy Geez (P),436 Belmont Ave,Haledon,On Premise,Carbliss,200883 Carbliss Blood Orange 6/4/12 oz Can,,,1.00,1
Allison Scott,25027,Sportzone B&G (P),593 Van Houten Ave,Clifton,On Premise,Sun Cruiser,200678 Sun Cruiser Lemonade & Ice Tea 1/24/12 oz Can,,,2.00,1
Allison Scott,14010,Uncorked (P),650 Union Blvd,Totowa,On Premise,Carbliss,200882 Carbliss Black Raspberry 6/4/12 oz Can,,,2.00,1
Allison Scott,12040,NYX,24 Galesi Drive,Wayne,On Premise,White Claw,8580 White Claw Hard Seltzer Natural Lime 4/6/12 oz Can,7.00,1,,
Allison Scott,10007,Bardis (P),149 Newark Pompton Tpke,Pequannock,On Premise,Sun Cruiser,200678 Sun Cruiser Lemonade & Ice Tea 1/24/12 oz Can,,,54.00,1
Allison Scott,24031,Tommy's Tavern & Tap (Clifton),826 Route 3 Clifton Nj,Clifton,On Premise,White Claw,8581 White Claw Hard Seltzer Black Cherry 4/6/12 oz Can,1.00,1,,
Allison Scott,17009,Jimmy Geez (P),436 Belmont Ave,Haledon,On Premise,White Claw,8587 White Claw Hard Seltzer Raspberry 4/6/12 oz Can,3.00,1,3.00,1
Allison Scott,17009,Jimmy Geez (P),436 Belmont Ave,Haledon,On Premise,White Claw,8580 White Claw Hard Seltzer Natural Lime 4/6/12 oz Can,3.00,1,1.00,1
Allison Scott,19012,Bottagra Rest (P),80 Wagaraw Road,Hawthorne,On Premise,White Claw,200203 White Claw Vodka & Soda Variety 3/8/12 oz Can,3.00,1,,
Allison Scott,13002,The Little Falls Tavern,131 Newark Pompton Turnpike,Little Falls,On Premise,White Claw,8595 White Claw Hard Seltzer Mango 2/12/12 oz Can,,,3.00,1
Allison Scott,24025,The Clif (P),605 Clifton Ave,Clifton,On Premise,White Claw,8595 White Claw Hard Seltzer Mango 2/12/12 oz Can,14.00,1,5.00,1
Allison Scott,8004,The Side Door (P),33 Colfax Ave,Pompton Lakes,On Premise,Sun Cruiser,200664 Sun Cruiser Lemonade Variety 3/8/12 oz Can,5.00,1,,
Allison Scott,15070,Brownstone House,351 W Broadway,Paterson,On Premise,Sun Cruiser,200634 Sun Cruiser Classic Iced Tea 1/24/12 oz Loose Can,,,2.00,1
Allison Scott,17001,Underdog Lounge(P),4 Church Street,Haledon,On Premise,Sun Cruiser,200665 Sun Cruiser Iced Tea Variety 2/12/12 oz Can,5.00,1,,
Allison Scott,12022,Grasshopper Too (A),26 Erie Ave,Wayne,On Premise,White Claw,8588 White Claw Hard Seltzer Black Cherry 2/12/12 oz Can,24.00,1,31.00,1
Allison Scott,12038,Tommy's Tavern + Tap (Wayne),71 NJ-23,Wayne,On Premise,White Claw,8589 White Claw Hard Seltzer Mango 4/6/12 oz Can,3.00,1,,
Allison Scott,3002,The Celtic Knot,72 Haskell Ave,Haskell,On Premise,Sun Cruiser,200636 Sun Cruiser Classic Iced Tea 3/8/12oz Can,,,2.00,1
Allison Scott,8004,The Side Door (P),33 Colfax Ave,Pompton Lakes,On Premise,White Claw,8588 White Claw Hard Seltzer Black Cherry 2/12/12 oz Can,5.00,1,,
Allison Scott,10007,Bardis (P),149 Newark Pompton Tpke,Pequannock,On Premise,Sun Cruiser,200641 Sun Cruiser Vodka Pink Lemonade 3/8/12 oz Can,2.00,1,,
Allison Scott,1005,Grasshopper Irish Pub (A),2891 Route 23,Newfoundland,On Premise,Carbliss,200883 Carbliss Blood Orange 6/4/12 oz Can,,,1.00,1
Allison Scott,19005,Celtic Corner,312 Lafayette Ave,Hawthorne,On Premise,Sun Cruiser,200632 Sun Cruiser Classic Iced Tea 6/4/12 oz Can,2.00,1,,
Allison Scott,25036,Dingbatz (P),620 Van Houten Ave,Clifton,On Premise,Sun Cruiser,200664 Sun Cruiser Lemonade Variety 3/8/12 oz Can,1.00,1,,
Allison Scott,10010,Sunset Valley G C (A),47 W Sunset Road,Pompton Plains,On Premise,White Claw,8588 White Claw Hard Seltzer Black Cherry 2/12/12 oz Can,,,0.00,1
Allison Scott,8004,The Side Door (P),33 Colfax Ave,Pompton Lakes,On Premise,Sun Cruiser,200634 Sun Cruiser Classic Iced Tea 1/24/12 oz Loose Can,26.00,1,16.00,1
Allison Scott,23001,Bogey's Sport Bar,103 Valley Road,Clifton,On Premise,White Claw,8583 White Claw Hard Seltzer Variety #1 2/12/12 oz Can,1.00,1,5.00,1
Allison Scott,24048,Dante's,955 Valley Rd,Clifton,On Premise,White Claw,8581 White Claw Hard Seltzer Black Cherry 4/6/12 oz Can,5.00,1,,
Allison Scott,3002,The Celtic Knot,72 Haskell Ave,Haskell,On Premise,Sun Cruiser,200634 Sun Cruiser Classic Iced Tea 1/24/12 oz Loose Can,24.00,1,43.00,1
Allison Scott,10007,Bardis (P),149 Newark Pompton Tpke,Pequannock,On Premise,White Claw,8580 White Claw Hard Seltzer Natural Lime 4/6/12 oz Can,17.00,1,11.00,1
Allison Scott,24026,Rock Bar,414 Main Ave,Clifton,On Premise,White Claw,8600 White Claw Hard Seltzer Variety #3 2/12/12 oz Can,4.00,1,,
Allison Scott,24031,Tommy's Tavern & Tap (Clifton),826 Route 3 Clifton Nj,Clifton,On Premise,White Claw,8633 White Claw Hard Seltzer Grape 4/6/12 oz Can,9.00,1,,
Allison Scott,24060,Clifton Billiards (Z),1158 Main Ave,Clifton,On Premise,White Claw,8583 White Claw Hard Seltzer Variety #1 2/12/12 oz Can,,,2.00,1
Allison Scott,12020,Lakeside Drive Tavern,56 Lake Drive West,Wayne,On Premise,Sun Cruiser,200640 Sun Cruiser Vodka Lemonade 1/24/12 oz Loose Can,,,1.00,1
