Sales Rep Assigned,Customer Num,Customer Name,Premise,Draft Package,Shipping Address,City,County,Distribution Area,Area,Buyer Count   2026,Cases   2026
Pablo Lopez,27118,Arepa Express,On Premise,2) Draft and Package,23-27 Lexington Ave,Passaic,Passaic,Sales,Sales,1,1283.00
Anthony Palmisano,191103,Whistle Stop (P),On Premise,2) Draft and Package,2775 Route 23 S,Newfoundland,Morris,Passaic,Passaic,1,1267.17
Nick Melissari,38002,Satin Dolls (A),On Premise,3) Package Only,230 Route 17,Lodi,Bergen,Bergen,Bergen,1,1237.17
Nick Melissari,80007,The Orange Lantern,On Premise,2) Draft and Package,15 E Firehouse Lane,Paramus,Bergen,Bergen,Bergen,1,1212.00
Pablo Lopez,21030,Bonfire Mofongo House (P),On Premise,3) Package Only,999 Market St,Paterson,Passaic,Passaic,Passaic,1,1207.00
Office Tell Sell,230110,Homestead Rest,On Premise,2) Draft and Package,294 N Church Rd,Sparta,Sussex,Sussex,Sussex,1,1198.25
Allison Scott,24019,Sharky's Wings(P),On Premise,2) Draft and Package,545 Highland Ave,Clifton,Passaic,Passaic,Passaic,1,1161.67
Derrick Laws,20127,Brothers A&C Pizza (P),On Premise,3) Package Only,343 21st Avenue,Paterson,Passaic,Passaic,Passaic,1,1159.00
Anthony Palmisano,230907,Irish Cottage Inn,On Premise,2) Draft and Package,602 NJ-23,Franklin,Sussex,Sussex,Sussex,1,1155.32
Nick Melissari,31054,Burger Shack,On Premise,2) Draft and Package,1 American Dream Way,East Rutherford,Bergen,Bergen,Bergen,1,1151.00
Paul Mclaughlin,50008,101 Pub (A),On Premise,2) Draft and Package,101 Queen Anne Rd,Bogota,Bergen,Bergen,Bergen,1,1130.17
Paul Mclaughlin,39010,Players Club (Z),On Premise,2) Draft and Package,213 Huyler St,South Hackensac,Bergen,Bergen,Bergen,1,1130.17
Allison Scott,15004,Blackjack Mulligan's Public House,On Premise,2) Draft and Package,1145 Mcbride Ave,Woodland Park,Passaic,Passaic,Passaic,1,1120.02
Pablo Lopez,22031,Roxxie's (P),On Premise,3) Package Only,324 E Railway Ave,Paterson,Passaic,Passaic,Passaic,1,1101.00
Allison Scott,24025,The Clif (P),On Premise,2) Draft and Package,605 Clifton Ave,Clifton,Passaic,Passaic,Passaic,1,1078.00
Nick Melissari,80040,Biagio's,On Premise,2) Draft and Package,299 Paramus Rd,Paramus,Bergen,Bergen,Bergen,1,1056.00
Nick Melissari,92007,Brady's At(A)The Station,On Premise,2) Draft and Package,5 W Main St,Ramsey,Bergen,Bergen,Bergen,1,1052.00
Pablo Lopez,41008,Noches De Colombia (Hackensack),On Premise,3) Package Only,382 Main St,Hackensack,Bergen,Bergen,Bergen,1,1046.33
Allison Scott,14017,The Chariot,On Premise,3) Package Only,555 Preakness Ave,Totowa,Passaic,Passaic,Passaic,1,1038.10
Paul Mclaughlin,40005,Lazy Lanigans (A),On Premise,2) Draft and Package,604 Main Street,Hackensack,Bergen,Bergen,Bergen,1,1032.17
Pablo Lopez,15045,Bacchus Sport Bar & Grill,On Premise,3) Package Only,176 Union Ave,Paterson,Passaic,Passaic,Passaic,1,1019.00
Nick Melissari,19006,Blackjack Mulligans (Hawthorne),On Premise,2) Draft and Package,237 Diamond Bridge Ave,Hawthorne,Passaic,Passaic,Passaic,1,1016.33
Brian Sengebush,191004,Club 15(P),On Premise,2) Draft and Package,619 NJ-15,Jefferson,Morris,Morris 1,Morris 1,1,1012.00
Javier Melo,27085,Cazadores Bar (Z) LLC,On Premise,3) Package Only,246 3rd St,Passaic,Passaic,Passaic,Passaic,1,1005.00
Allison Scott,22004,Neighbors,On Premise,2) Draft and Package,329 Trenton Avenue,Paterson,Passaic,Passaic,Passaic,1,999.00
Anthony Palmisano,3011,Flip's Bar (P),On Premise,2) Draft and Package,18 Railroad Ave,Wanaque,Passaic,Passaic-FF,Passaic-FF,1,996.00
Anthony Palmisano,231302,Thirsty Farmer,On Premise,2) Draft and Package,31 Loomis Ave,Sussex,Sussex,Sussex,Sussex,1,994.00
Anthony Palmisano,230929,Airport Pub & Pkg,On Premise,2) Draft and Package,65 County Rd 639,Sussex,Sussex,Sussex,Sussex,1,989.00
Brian Sengebush,191601,Stoll Street Tavern,On Premise,2) Draft and Package,100 Stoll St,Netcong,Morris,Morris 1,Morris 1,1,987.00
Nick Melissari,29035,Marty Gra's (A),On Premise,2) Draft and Package,601 Schuyler Ave,Lyndhurst,Bergen,Bergen,Bergen,1,961.00
Robin Feldman,39015,Rudy's Inflight Caterers,On Premise,3) Package Only,180 North Street,Teterboro,Bergen,Bergen,Bergen,1,959.00
Paul Mclaughlin,52049,Sini Bistro,On Premise,3) Package Only,401 S Van Brunt St,Englewood,Bergen,Bergen,Bergen,1,954.85
Paul Mclaughlin,41010,Lenoras Bar (P),On Premise,2) Draft and Package,129 Johnson Ave,Hackensack,Bergen,Bergen,Bergen,1,947.50
Nick Melissari,31017,Victory Sports Bar,On Premise,2) Draft and Package,1 Racetrack Drive,East Rutherford,Bergen,Bergen,Bergen,1,943.00
Paul Mclaughlin,70004,Davey's Locker (A),On Premise,2) Draft and Package,5 Park St,Montvale,Bergen,Bergen,Bergen,1,937.00
Brian Sengebush,190923,Knotty Pine Pub (P),On Premise,2) Draft and Package,242 E Union Turnpike,Wharton,Morris,Morris 1,Morris 1,1,922.00
Pablo Lopez,27093,Galleria,On Premise,2) Draft and Package,581-583 Main Ave,Passaic,Passaic,Sales,Sales,1,921.75
Pablo Lopez,20004,Bocaditos Bistro,On Premise,3) Package Only,710 Madison Ave,Paterson,Passaic,Passaic,Passaic,1,920.00
Pablo Lopez,20100,Serie 92 Bar & Liquor,On Premise,2) Draft and Package,21 West Broadway,Paterson,Passaic,Sales,Sales,1,916.00
Anthony Palmisano,231211,Tony's Pizza (P),On Premise,2) Draft and Package,2771 NJ-23,Stockholm,Sussex,Sussex,Sussex,1,911.00
Nick Melissari,32012,The Local Pub,On Premise,2) Draft and Package,442 Hackensack St,Carlstadt,Bergen,Bergen,Bergen,1,910.00
Nick Melissari,77003,Blue 42 Restaurant & Bar,On Premise,2) Draft and Package,158 Market St,Elmwood Park,Bergen,Bergen,Bergen,1,899.50
Nick Melissari,31011,Blarney Station,On Premise,2) Draft and Package,258 Park Ave,East Rutherford,Bergen,Bergen,Bergen,1,897.00
Allison Scott,1005,Grasshopper Irish Pub (A),On Premise,2) Draft and Package,2891 Route 23,Newfoundland,Passaic,Passaic,Passaic,1,890.17
Mike Ast,84009,Mac Murphy,On Premise,2) Draft and Package,8 Godwin Ave,Ridgewood,Bergen,Bergen,Bergen,1,890.00
Allison Scott,12026,WAYNE ALE HOUSE & PIZZA,On Premise,2) Draft and Package,611 Ratzer Road,Wayne,Passaic,Passaic,Passaic,1,889.00
Allison Scott,24031,Tommy's Tavern & Tap (Clifton),On Premise,2) Draft and Package,826 Route 3 Clifton Nj,Clifton,Passaic,Passaic,Passaic,1,889.00
Nick Melissari,38020,Lodi Lanes (A),On Premise,2) Draft and Package,58 Terhune Ave,Lodi,Bergen,Bergen,Bergen,1,882.50
Paul Mclaughlin,60002,QB's Bar and Grill,On Premise,2) Draft and Package,49 W Madison Ave,Dumont,Bergen,Sales,Sales,1,879.00
Allison Scott,8004,The Side Door (P),On Premise,2) Draft and Package,33 Colfax Ave,Pompton Lakes,Passaic,Passaic,Passaic,1,876.00
Nick Melissari,46028,Legends (P),On Premise,2) Draft and Package,16 Statehighway 5,Palisades Park,Bergen,Bergen,Bergen,1,874.00
Paul Mclaughlin,65006,Gerry's Place,On Premise,2) Draft and Package,595 Broadway,Norwood,Bergen,Bergen,Bergen,1,856.00
Nick Melissari,28008,Tavern On Ridge,On Premise,2) Draft and Package,14 Ridge Road,North Arlington,Bergen,Sales,Sales,1,839.00
Brian Sengebush,231715,Gyp's Tavern,On Premise,2) Draft and Package,25 Us-206,Sandyston,Sussex,Sussex,Sussex,1,834.00
Dan Lagala,44044,Sonsonate Rest(P),On Premise,3) Package Only,100 Palisade Ave,Cliffside Park,Bergen,Bergen,Bergen,1,827.00
Chris Payton,47017,Westside Village (A),On Premise,3) Package Only,18 Paulison Ave,Ridgefield Park,Bergen,Bergen,Bergen,1,812.50
Paul Mclaughlin,70005,Montvale Bowl (A),On Premise,3) Package Only,14 West Grand Ave,Montvale,Bergen,Bergen,Bergen,1,804.00
Paul Mclaughlin,86002,Doghouse Saloon (Z),On Premise,2) Draft and Package,270 Pascack Rd,Washington Twsp,Bergen,Bergen,Bergen,1,802.33
Brian Sengebush,191407,Pub 199,On Premise,2) Draft and Package,199 Howard Blvd,Mt Arlington,Morris,Morris 1,Morris 1,1,802.17
Nick Melissari,37034,Blackjack Mulligans(P) (Garfield),On Premise,2) Draft and Package,279 Passaic St,Garfield,Bergen,Bergen,Bergen,1,797.17
Brian Sengebush,190601,Thatcher Mcghee's (A),On Premise,2) Draft and Package,53 Broadway,Denville,Morris,Morris 1,Morris 1,1,789.00
Pablo Lopez,22001,Lena Y Carbon Restaurant,On Premise,3) Package Only,201 Market St,Paterson,Passaic,Passaic,Passaic,1,783.00
Nick Melissari,89002,Allendale Bar & Grill,On Premise,2) Draft and Package,67 Allendale Ave,Allendale,Bergen,Bergen,Bergen,1,782.00
Paul Mclaughlin,70008,Hearth & Tap Co.,On Premise,2) Draft and Package,125 N Kndrkmk Rd,Montvale,Bergen,Bergen,Bergen,1,778.50
Klejdi Lamo,190702,Smith's Tavern,On Premise,2) Draft and Package,175 E Main St,Rockaway,Morris,Morris 1,Morris 1,1,775.00
Javier Melo,37066,La Fortaleza (Garfield),On Premise,3) Package Only,361 Midland Ave,Garfield,Bergen,Bergen,Bergen,1,772.00
Nick Melissari,37019,BJ Polonia,On Premise,2) Draft and Package,126 Ray St,Garfield,Bergen,Bergen,Bergen,1,767.00
Allison Scott,12022,Grasshopper Too (A),On Premise,2) Draft and Package,26 Erie Ave,Wayne,Passaic,Passaic,Passaic,1,765.17
Anthony Palmisano,231304,The Lamp Post Inn,On Premise,2) Draft and Package,1601 County Rd 565,Sussex,Sussex,Sussex,Sussex,1,760.00
Paul Mclaughlin,56009,Tommy Fox's Pub Hse(P),On Premise,2) Draft and Package,32 S Washington Ave,Bergenfield,Bergen,Bergen,Bergen,1,750.00
Anthony Palmisano,231213,The Kites (P),On Premise,2) Draft and Package,2 Chamonix Drive,Vernon,Sussex,Sussex,Sussex,1,746.00
Mike Ast,84022,Park West Tavern,On Premise,2) Draft and Package,30 Oak Street,Ridgewood,Bergen,Bergen,Bergen,1,736.33
Paul Mclaughlin,40021,Bowler City Bowling,On Premise,3) Package Only,85 Midtown Bridge St,Hackensack,Bergen,Bergen,Bergen,1,735.00
Nick Melissari,31039,Yard House 8390,On Premise,2) Draft and Package,1 American Dream Way,East Rutherford,Bergen,Bergen,Bergen,1,730.00
Chris Payton,81017,JJ's Pub,On Premise,2) Draft and Package,25-01 Broadway,Fair Lawn,Bergen,Bergen,Bergen,1,714.00
Robin Feldman,41034,Lodi Moose Lodge 1971,On Premise,2) Draft and Package,215 Charles St,Hackensack,Bergen,Bergen,Bergen,1,709.75
Nick Melissari,32023,Redd's Rest (Z),On Premise,2) Draft and Package,317 Washington Ave,Carlstadt,Bergen,Bergen,Bergen,1,707.00
Dan Lagala,44048,Clubhouse Cafe (P),On Premise,2) Draft and Package,661 Palisade Ave,Cliffside Park,Bergen,Bergen,Bergen,1,704.00
Paul Mclaughlin,52036,Vida Garden,On Premise,3) Package Only,14-16 Armory St,Englewood,Bergen,Bergen,Bergen,1,700.00
Anthony Palmisano,4007,Karls Stumble Inn,On Premise,2) Draft and Package,231 Hamburg Turnpike,Bloomingdale,Passaic,Passaic,Passaic,1,696.00
Allison Scott,5008,Celtic Crossings,On Premise,2) Draft and Package,1248 NJ-23,Butler,Morris,Morris 3,Morris 3,1,696.00
Nick Melissari,31024,Castle Billiards (Z),On Premise,2) Draft and Package,349 Rt 17,East Rutherford,Bergen,Bergen,Bergen,1,693.00
Robin Feldman,1030,Elks Post 2236 (P),On Premise,2) Draft and Package,1860 Union Valley Road,West Milford,Passaic,Passaic-FF,Passaic-FF,1,689.00
Allison Scott,25049,Yesterdays (P),On Premise,2) Draft and Package,70 Main Ave,Clifton,Passaic,Passaic,Passaic,1,681.00
Chris Payton,45005,Colonial Bar,On Premise,2) Draft and Package,719 Grand Avenue,Ridgefield,Bergen,Bergen,Bergen,1,672.00
Nick Melissari,30026,Simulcast,On Premise,2) Draft and Package,1 Racetrack Drive,East Rutherford,Bergen,Bergen,Bergen,1,669.00
Pablo Lopez,15046,Romo Restaurant,On Premise,3) Package Only,177 3rd Ave,Paterson,Passaic,Passaic,Passaic,1,667.00
Allison Scott,15036,River Terrace Inn(P),On Premise,3) Package Only,36 Totowa Ave,Paterson,Passaic,Passaic,Passaic,1,667.00
Pablo Lopez,52037,Colombia Kaliente,On Premise,2) Draft and Package,30 East Palisade Ave.,Englewood,Bergen,Sales,Sales,1,665.00
Allison Scott,12057,YARD HOUSE 8384,On Premise,2) Draft and Package,320 WILLOWBROOK MALL,Wayne,Passaic,Sales,Sales,1,662.00
Brian Sengebush,1017,Millers Ale House Rockawa,On Premise,2) Draft and Package,325 Mt Hope Avenue,Rockaway,Morris,Morris 1,Morris 1,1,658.00
Nick Melissari,28009,1 Republik,On Premise,2) Draft and Package,26 Ridge Rd,North Arlington,Bergen,Bergen,Bergen,1,657.42
Brian Sengebush,191405,Pat's Bar (P),On Premise,2) Draft and Package,390 Howard Blvd,Mt Arlington,Morris,Morris 1,Morris 1,1,657.00
Allison Scott,11011,Sunset Pub & Grill(Z),On Premise,2) Draft and Package,425 Beaverbrook Rd,Lincoln Park,Morris,Morris 3,Morris 3,1,651.00
Paul Mclaughlin,29051,Medieval Times,On Premise,2) Draft and Package,149 Polito Ave,Lyndhurst,Bergen,Bergen,Bergen,1,641.00
Allison Scott,12034,"Dave & Buster's Nj, Inc",On Premise,2) Draft and Package,310 Willowbrook Mall,Wayne,Passaic,Passaic,Passaic,1,639.00
Allison Scott,15074,Bask 46,On Premise,2) Draft and Package,1530 Rt 46 West,Woodland Park,Passaic,Passaic,Passaic,1,630.33
Anthony Palmisano,191207,Daily Planet (A),On Premise,2) Draft and Package,526 Roosevelt Ave,Oak Ridge,Morris,Morris 1,Morris 1,1,628.17
