Sales Rep Assigned,Product Num Name,Customer Num & Company,On-Off Premise,Load Sheet Date,Placement Count   6/1/2026 - 8/31/2026,Placement Count   9/1/2026 - 9/30/2026,Placement Count Percentage Total
Anthony Palmisano,1174 Fever Tree Lime-Yuzu 6/4/200 mL Btl,230915 Crystal Sprs/Wild Turkey,On Premise,8/27/2026,1.00,,
Paul Mclaughlin,1155 Fever Tree Ginger Beer 3/8/150 mL Can,40038 Forte Ristorante,On Premise,8/27/2026,1.00,,
Nick Melissari,1169 Fever Tree Ginger Ale 6/4/200 mL Btl,41016 Cheesecake Fact (A)Hacken,On Premise,8/27/2026,1.00,,
Anthony Palmisano,1167 Fever Tree Elderflower Tonic Water 3/8/150 mL Can,230915 Crystal Sprs/Wild Turkey,On Premise,8/27/2026,1.00,,
Allison Scott,1169 Fever Tree Ginger Ale 6/4/200 mL Btl,12041 Cheesecake Fact (A)Wayne,On Premise,8/27/2026,1.00,,
Nick Melissari,1166 Fever Tree Elderflower Tonic Water 6/4/200 mL Btl,88002 Nellie's Place (P),On Premise,8/26/2026,1.00,,
Allison Scott,1172 Fever Tree Pink Grapefruit Soda 6/4/200 mL Btl,12056 PF Changs China Bistro (Wayne),On Premise,8/26/2026,1.00,,
Brian Sengebush,1151 Fever Tree Ginger Beer 6/4/200 mL Btl,1017 Millers Ale House Rockawa,On Premise,8/26/2026,1.00,,
Nick Melissari,1151 Fever Tree Ginger Beer 6/4/200 mL Btl,41025 Morton's The Stkhse Hacke,On Premise,8/25/2026,1.00,,
Paul Mclaughlin,1166 Fever Tree Elderflower Tonic Water 6/4/200 mL Btl,74010 Osteria Crescendo,On Premise,8/25/2026,1.00,,
Allison Scott,1155 Fever Tree Ginger Beer 3/8/150 mL Can,7003 Blu Ale House,On Premise,8/25/2026,1.00,,
Paul Mclaughlin,1157 Fever Tree Club Soda 6/4/200 mL Btl,52030 Sofia,On Premise,8/25/2026,1.00,,
Nick Melissari,1151 Fever Tree Ginger Beer 6/4/200 mL Btl,80012 California Pizza Paramus,On Premise,8/25/2026,1.00,,
Nick Melissari,1159 Fever Tree Club Soda 3/8/150 mL Can,31059 Apres Cafe,On Premise,8/25/2026,1.00,,
Nick Melissari,1176 Fever Tree Sicilian Lemonade 6/4/200 mL Btl,41025 Morton's The Stkhse Hacke,On Premise,8/25/2026,1.00,,
Nick Melissari,1157 Fever Tree Club Soda 6/4/200 mL Btl,41025 Morton's The Stkhse Hacke,On Premise,8/25/2026,1.00,,
Nick Melissari,1169 Fever Tree Ginger Ale 6/4/200 mL Btl,41025 Morton's The Stkhse Hacke,On Premise,8/25/2026,1.00,,
Paul Mclaughlin,1151 Fever Tree Ginger Beer 6/4/200 mL Btl,52030 Sofia,On Premise,8/25/2026,1.00,,
Paul Mclaughlin,1174 Fever Tree Lime-Yuzu 6/4/200 mL Btl,70013 Flemings Prime Steakhouse and Wine Bar,On Premise,8/25/2026,1.00,,
Paul Mclaughlin,1163 Fever Tree Tonic Water Light 6/4/200 mL Btl,52030 Sofia,On Premise,8/25/2026,1.00,,
Nick Melissari,1168 Fever Tree mediterranean Tonic Water 6/4/200 mL Btl,41025 Morton's The Stkhse Hacke,On Premise,8/25/2026,1.00,,
Nick Melissari,1155 Fever Tree Ginger Beer 3/8/150 mL Can,31059 Apres Cafe,On Premise,8/25/2026,1.00,,
Paul Mclaughlin,1175 Fever Tree Cucumber 6/4/200 mL Btl,52030 Sofia,On Premise,8/25/2026,1.00,,
Pablo Lopez,1151 Fever Tree Ginger Beer 6/4/200 mL Btl,52005 Noches De Colombia(Englewood)),On Premise,8/25/2026,1.00,,
Nick Melissari,1160 Fever Tree Tonic Water 6/4/200 mL Btl,80012 California Pizza Paramus,On Premise,8/25/2026,1.00,,
Paul Mclaughlin,1151 Fever Tree Ginger Beer 6/4/200 mL Btl,70013 Flemings Prime Steakhouse and Wine Bar,On Premise,8/25/2026,1.00,,
Paul Mclaughlin,1172 Fever Tree Pink Grapefruit Soda 6/4/200 mL Btl,74010 Osteria Crescendo,On Premise,8/25/2026,1.00,,
Pablo Lopez,1160 Fever Tree Tonic Water 6/4/200 mL Btl,52005 Noches De Colombia(Englewood)),On Premise,8/25/2026,1.00,,
Allison Scott,1162 Fever Tree Tonic Water 3/8/150 mL Can,7003 Blu Ale House,On Premise,8/25/2026,1.00,,
Anthony Palmisano,1155 Fever Tree Ginger Beer 3/8/150 mL Can,230915 Crystal Sprs/Wild Turkey,On Premise,8/21/2026,1.00,,
Anthony Palmisano,1173 Fever Tree Pink Grapefruit Soda 3/8/150 mL Can,230915 Crystal Sprs/Wild Turkey,On Premise,8/21/2026,1.00,,
Paul Mclaughlin,1166 Fever Tree Elderflower Tonic Water 6/4/200 mL Btl,74021 Bar Mutz,On Premise,8/21/2026,1.00,,
Allison Scott,1151 Fever Tree Ginger Beer 6/4/200 mL Btl,23001 Bogey's Sport Bar,On Premise,8/21/2026,1.00,,
Anthony Palmisano,1174 Fever Tree Lime-Yuzu 6/4/200 mL Btl,230915 Crystal Sprs/Wild Turkey,On Premise,8/21/2026,1.00,,
Mike Ast,1172 Fever Tree Pink Grapefruit Soda 6/4/200 mL Btl,95001 Pazza,On Premise,8/21/2026,1.00,,
Paul Mclaughlin,1172 Fever Tree Pink Grapefruit Soda 6/4/200 mL Btl,74021 Bar Mutz,On Premise,8/21/2026,1.00,,
Brian Sengebush,1153 Fever Tree Blood Orange Ginger Beer 6/4/200 mL Btl,191502 Alice's (Z),On Premise,8/20/2026,1.00,,
Nick Melissari,1154 Fever Tree Ginger Beer 8/500 mL Btl,80031 Grand Lux Cafe (A),On Premise,8/20/2026,1.00,,
Brian Sengebush,1151 Fever Tree Ginger Beer 6/4/200 mL Btl,1017 Millers Ale House Rockawa,On Premise,8/20/2026,1.00,,
Allison Scott,1169 Fever Tree Ginger Ale 6/4/200 mL Btl,12041 Cheesecake Fact (A)Wayne,On Premise,8/20/2026,1.00,,
Nick Melissari,1151 Fever Tree Ginger Beer 6/4/200 mL Btl,40030 JINYA Ramen Bar (Hackensack),On Premise,8/20/2026,1.00,,
Brian Sengebush,1169 Fever Tree Ginger Ale 6/4/200 mL Btl,1022 The Cheesecake Factory,On Premise,8/20/2026,1.00,,
Nick Melissari,1169 Fever Tree Ginger Ale 6/4/200 mL Btl,41016 Cheesecake Fact (A)Hacken,On Premise,8/20/2026,1.00,,
Nick Melissari,1160 Fever Tree Tonic Water 6/4/200 mL Btl,40030 JINYA Ramen Bar (Hackensack),On Premise,8/20/2026,1.00,,
Allison Scott,1155 Fever Tree Ginger Beer 3/8/150 mL Can,19011 Las Maravillas Restaurant,On Premise,8/19/2026,1.00,,
Allison Scott,1178 Fever Tree Expresso Martini Mix 8/500 mL Btl,25052 Uno Chicago Grl (A)Clifto,On Premise,8/19/2026,1.00,,
Mike Ast,1155 Fever Tree Ginger Beer 3/8/150 mL Can,84022 Park West Tavern,On Premise,8/19/2026,1.00,,
Brian Sengebush,1166 Fever Tree Elderflower Tonic Water 6/4/200 mL Btl,191509 The Beacon,On Premise,8/19/2026,1.00,,
Paul Mclaughlin,1154 Fever Tree Ginger Beer 8/500 mL Btl,85001 Eleven Central,On Premise,8/19/2026,1.00,,
Paul Mclaughlin,1181 Fever Tree Classic Bloody Mary Mix 6/750 mL Btl,71004 Four Leaves,On Premise,8/19/2026,1.00,,
Allison Scott,1160 Fever Tree Tonic Water 6/4/200 mL Btl,12031 Double Ai Asian Bistro,On Premise,8/19/2026,1.00,,
Nick Melissari,1166 Fever Tree Elderflower Tonic Water 6/4/200 mL Btl,89002 Allendale Bar & Grill,On Premise,8/19/2026,1.00,,
Nick Melissari,1163 Fever Tree Tonic Water Light 6/4/200 mL Btl,89002 Allendale Bar & Grill,On Premise,8/19/2026,1.00,,
Brian Sengebush,1155 Fever Tree Ginger Beer 3/8/150 mL Can,190108 Harrigan's Rest. (P),On Premise,8/19/2026,1.00,,
Paul Mclaughlin,1163 Fever Tree Tonic Water Light 6/4/200 mL Btl,52030 Sofia,On Premise,8/18/2026,1.00,,
Paul Mclaughlin,1151 Fever Tree Ginger Beer 6/4/200 mL Btl,52030 Sofia,On Premise,8/18/2026,1.00,,
Paul Mclaughlin,1157 Fever Tree Club Soda 6/4/200 mL Btl,52030 Sofia,On Premise,8/18/2026,1.00,,
Phil Ernst,1172 Fever Tree Pink Grapefruit Soda 6/4/200 mL Btl,76021 Saddle Brook Liquor & Bar,On Premise,8/18/2026,1.00,,
Brian Sengebush,1157 Fever Tree Club Soda 6/4/200 mL Btl,190724 PF Changs,On Premise,8/18/2026,1.00,,
Allison Scott,1155 Fever Tree Ginger Beer 3/8/150 mL Can,7003 Blu Ale House,On Premise,8/18/2026,1.00,,
Brian Sengebush,1151 Fever Tree Ginger Beer 6/4/200 mL Btl,190724 PF Changs,On Premise,8/18/2026,1.00,,
Allison Scott,1162 Fever Tree Tonic Water 3/8/150 mL Can,7003 Blu Ale House,On Premise,8/18/2026,1.00,,
Robin Feldman,1173 Fever Tree Pink Grapefruit Soda 3/8/150 mL Can,29033 Courtyard Marriott(A),On Premise,8/18/2026,1.00,,
Phil Ernst,1159 Fever Tree Club Soda 3/8/150 mL Can,76021 Saddle Brook Liquor & Bar,On Premise,8/18/2026,1.00,,
Brian Sengebush,1160 Fever Tree Tonic Water 6/4/200 mL Btl,190724 PF Changs,On Premise,8/18/2026,1.00,,
Phil Ernst,1162 Fever Tree Tonic Water 3/8/150 mL Can,76021 Saddle Brook Liquor & Bar,On Premise,8/18/2026,1.00,,
Paul Mclaughlin,1174 Fever Tree Lime-Yuzu 6/4/200 mL Btl,81004 Stosh's Craft Bar (Z),On Premise,8/17/2026,1.00,,
Allison Scott,1169 Fever Tree Ginger Ale 6/4/200 mL Btl,12041 Cheesecake Fact (A)Wayne,On Premise,8/17/2026,1.00,,
Paul Mclaughlin,1178 Fever Tree Expresso Martini Mix 8/500 mL Btl,81004 Stosh's Craft Bar (Z),On Premise,8/17/2026,1.00,,
Paul Mclaughlin,1177 Fever Tree Distillers Cola 6/4/200 mL Btl,81004 Stosh's Craft Bar (Z),On Premise,8/17/2026,1.00,,
Allison Scott,1151 Fever Tree Ginger Beer 6/4/200 mL Btl,12041 Cheesecake Fact (A)Wayne,On Premise,8/17/2026,1.00,,
Robin Feldman,1160 Fever Tree Tonic Water 6/4/200 mL Btl,192156 Hapgoods Restaurant,On Premise,8/14/2026,1.00,,
Nick Melissari,1157 Fever Tree Club Soda 6/4/200 mL Btl,40025 Pf Changs China Bis(A) (Hackensack),On Premise,8/13/2026,1.00,,
Nick Melissari,1169 Fever Tree Ginger Ale 6/4/200 mL Btl,41016 Cheesecake Fact (A)Hacken,On Premise,8/13/2026,1.00,,
Dan Lagala,1151 Fever Tree Ginger Beer 6/4/200 mL Btl,49016 Ipic Theaters,On Premise,8/13/2026,1.00,,
Brian Sengebush,1169 Fever Tree Ginger Ale 6/4/200 mL Btl,1022 The Cheesecake Factory,On Premise,8/13/2026,1.00,,
Brian Sengebush,1166 Fever Tree Elderflower Tonic Water 6/4/200 mL Btl,191509 The Beacon,On Premise,8/13/2026,1.00,,
Nick Melissari,1151 Fever Tree Ginger Beer 6/4/200 mL Btl,41016 Cheesecake Fact (A)Hacken,On Premise,8/13/2026,1.00,,
Nick Melissari,1172 Fever Tree Pink Grapefruit Soda 6/4/200 mL Btl,40025 Pf Changs China Bis(A) (Hackensack),On Premise,8/13/2026,1.00,,
Paul Mclaughlin,1163 Fever Tree Tonic Water Light 6/4/200 mL Btl,52030 Sofia,On Premise,8/11/2026,1.00,,
Nick Melissari,1151 Fever Tree Ginger Beer 6/4/200 mL Btl,80012 California Pizza Paramus,On Premise,8/11/2026,1.00,,
Mike Ast,1151 Fever Tree Ginger Beer 6/4/200 mL Btl,95001 Pazza,On Premise,8/11/2026,1.00,,
Nick Melissari,1160 Fever Tree Tonic Water 6/4/200 mL Btl,80012 California Pizza Paramus,On Premise,8/11/2026,1.00,,
Mike Ast,1172 Fever Tree Pink Grapefruit Soda 6/4/200 mL Btl,95001 Pazza,On Premise,8/11/2026,1.00,,
Paul Mclaughlin,1175 Fever Tree Cucumber 6/4/200 mL Btl,52030 Sofia,On Premise,8/11/2026,1.00,,
Paul Mclaughlin,1157 Fever Tree Club Soda 6/4/200 mL Btl,52030 Sofia,On Premise,8/11/2026,1.00,,
Paul Mclaughlin,1151 Fever Tree Ginger Beer 6/4/200 mL Btl,52030 Sofia,On Premise,8/11/2026,1.00,,
Mike Ast,1172 Fever Tree Pink Grapefruit Soda 6/4/200 mL Btl,95001 Pazza,On Premise,8/7/2026,1.00,,
Nick Melissari,1174 Fever Tree Lime-Yuzu 6/4/200 mL Btl,80013 Bonefish Grill (A) (Paramus),On Premise,8/7/2026,1.00,,
Paul Mclaughlin,1155 Fever Tree Ginger Beer 3/8/150 mL Can,86007 Bacari,On Premise,8/7/2026,1.00,,
Paul Mclaughlin,1172 Fever Tree Pink Grapefruit Soda 6/4/200 mL Btl,71004 Four Leaves,On Premise,8/7/2026,1.00,,
Paul Mclaughlin,1181 Fever Tree Classic Bloody Mary Mix 6/750 mL Btl,71004 Four Leaves,On Premise,8/7/2026,1.00,,
Chris Politano,1181 Fever Tree Classic Bloody Mary Mix 6/750 mL Btl,31037 Delaware North Met Life Stadium,On Premise,8/7/2026,1.00,,
Robin Feldman,1172 Fever Tree Pink Grapefruit Soda 6/4/200 mL Btl,12068 Courtyard by Marriott Wayne Fairfield,On Premise,8/7/2026,1.00,,
Paul Mclaughlin,1166 Fever Tree Elderflower Tonic Water 6/4/200 mL Btl,71004 Four Leaves,On Premise,8/7/2026,1.00,,
Anthony Palmisano,1173 Fever Tree Pink Grapefruit Soda 3/8/150 mL Can,230915 Crystal Sprs/Wild Turkey,On Premise,8/7/2026,1.00,,
Mike Ast,1151 Fever Tree Ginger Beer 6/4/200 mL Btl,95001 Pazza,On Premise,8/7/2026,1.00,,
Anthony Palmisano,1167 Fever Tree Elderflower Tonic Water 3/8/150 mL Can,230915 Crystal Sprs/Wild Turkey,On Premise,8/7/2026,1.00,,
Anthony Palmisano,1155 Fever Tree Ginger Beer 3/8/150 mL Can,230915 Crystal Sprs/Wild Turkey,On Premise,8/7/2026,1.00,,
Robin Feldman,1151 Fever Tree Ginger Beer 6/4/200 mL Btl,12068 Courtyard by Marriott Wayne Fairfield,On Premise,8/7/2026,1.00,,
Paul Mclaughlin,1151 Fever Tree Ginger Beer 6/4/200 mL Btl,71004 Four Leaves,On Premise,8/7/2026,1.00,,
Nick Melissari,1151 Fever Tree Ginger Beer 6/4/200 mL Btl,41016 Cheesecake Fact (A)Hacken,On Premise,8/6/2026,1.00,,
Allison Scott,1157 Fever Tree Club Soda 6/4/200 mL Btl,12056 PF Changs China Bistro (Wayne),On Premise,8/6/2026,1.00,,
Allison Scott,1172 Fever Tree Pink Grapefruit Soda 6/4/200 mL Btl,12056 PF Changs China Bistro (Wayne),On Premise,8/6/2026,1.00,,
Nick Melissari,1169 Fever Tree Ginger Ale 6/4/200 mL Btl,41016 Cheesecake Fact (A)Hacken,On Premise,8/6/2026,1.00,,
Nick Melissari,1154 Fever Tree Ginger Beer 8/500 mL Btl,80031 Grand Lux Cafe (A),On Premise,8/6/2026,1.00,,
Allison Scott,1151 Fever Tree Ginger Beer 6/4/200 mL Btl,12056 PF Changs China Bistro (Wayne),On Premise,8/6/2026,1.00,,
Allison Scott,1169 Fever Tree Ginger Ale 6/4/200 mL Btl,24038 J. Alexander's Restaurant,On Premise,8/6/2026,1.00,,
Allison Scott,1157 Fever Tree Club Soda 6/4/200 mL Btl,24038 J. Alexander's Restaurant,On Premise,8/6/2026,1.00,,
Nick Melissari,1151 Fever Tree Ginger Beer 6/4/200 mL Btl,94009 Oakland Diner,On Premise,8/6/2026,1.00,,
Allison Scott,1168 Fever Tree mediterranean Tonic Water 6/4/200 mL Btl,12056 PF Changs China Bistro (Wayne),On Premise,8/6/2026,1.00,,
Brian Sengebush,1169 Fever Tree Ginger Ale 6/4/200 mL Btl,1022 The Cheesecake Factory,On Premise,8/6/2026,1.00,,
Allison Scott,1169 Fever Tree Ginger Ale 6/4/200 mL Btl,12041 Cheesecake Fact (A)Wayne,On Premise,8/6/2026,1.00,,
Allison Scott,1151 Fever Tree Ginger Beer 6/4/200 mL Btl,12041 Cheesecake Fact (A)Wayne,On Premise,8/6/2026,1.00,,
Allison Scott,1172 Fever Tree Pink Grapefruit Soda 6/4/200 mL Btl,19012 Bottagra Rest (P),On Premise,8/5/2026,1.00,,
Office Tell Sell,1151 Fever Tree Ginger Beer 6/4/200 mL Btl,49025 Flemings Stkhse (P),On Premise,8/5/2026,1.00,,
Nick Melissari,1151 Fever Tree Ginger Beer 6/4/200 mL Btl,80012 California Pizza Paramus,On Premise,8/5/2026,1.00,,
Allison Scott,1162 Fever Tree Tonic Water 3/8/150 mL Can,12037 Maggies Town Tavern Ii,On Premise,8/5/2026,1.00,,
Office Tell Sell,1174 Fever Tree Lime-Yuzu 6/4/200 mL Btl,49025 Flemings Stkhse (P),On Premise,8/5/2026,1.00,,
Nick Melissari,1160 Fever Tree Tonic Water 6/4/200 mL Btl,80012 California Pizza Paramus,On Premise,8/5/2026,1.00,,
Office Tell Sell,1172 Fever Tree Pink Grapefruit Soda 6/4/200 mL Btl,49025 Flemings Stkhse (P),On Premise,8/5/2026,1.00,,
Brian Sengebush,1151 Fever Tree Ginger Beer 6/4/200 mL Btl,1017 Millers Ale House Rockawa,On Premise,8/4/2026,1.00,,
Allison Scott,1162 Fever Tree Tonic Water 3/8/150 mL Can,7003 Blu Ale House,On Premise,8/4/2026,1.00,,
Allison Scott,1155 Fever Tree Ginger Beer 3/8/150 mL Can,7003 Blu Ale House,On Premise,8/4/2026,1.00,,
Nick Melissari,1151 Fever Tree Ginger Beer 6/4/200 mL Btl,80018 Millers Paramus Ale House,On Premise,8/4/2026,1.00,,
Paul Mclaughlin,1154 Fever Tree Ginger Beer 8/500 mL Btl,85001 Eleven Central,On Premise,8/4/2026,1.00,,
Allison Scott,1151 Fever Tree Ginger Beer 6/4/200 mL Btl,24019 Sharky's Wings(P),On Premise,8/3/2026,1.00,,
Paul Mclaughlin,1181 Fever Tree Classic Bloody Mary Mix 6/750 mL Btl,71004 Four Leaves,On Premise,8/3/2026,1.00,,
Paul Mclaughlin,1157 Fever Tree Club Soda 6/4/200 mL Btl,52030 Sofia,On Premise,7/31/2026,1.00,,
Paul Mclaughlin,1175 Fever Tree Cucumber 6/4/200 mL Btl,52030 Sofia,On Premise,7/31/2026,1.00,,
Nick Melissari,1153 Fever Tree Blood Orange Ginger Beer 6/4/200 mL Btl,80040 Biagio's,On Premise,7/31/2026,1.00,,
Brian Sengebush,1176 Fever Tree Sicilian Lemonade 6/4/200 mL Btl,190921 White Owl Tavern,On Premise,7/31/2026,1.00,,
Brian Sengebush,1160 Fever Tree Tonic Water 6/4/200 mL Btl,190921 White Owl Tavern,On Premise,7/31/2026,1.00,,
Nick Melissari,1174 Fever Tree Lime-Yuzu 6/4/200 mL Btl,80040 Biagio's,On Premise,7/31/2026,1.00,,
Paul Mclaughlin,1151 Fever Tree Ginger Beer 6/4/200 mL Btl,52030 Sofia,On Premise,7/31/2026,1.00,,
Paul Mclaughlin,1163 Fever Tree Tonic Water Light 6/4/200 mL Btl,52030 Sofia,On Premise,7/31/2026,1.00,,
Allison Scott,1151 Fever Tree Ginger Beer 6/4/200 mL Btl,12041 Cheesecake Fact (A)Wayne,On Premise,7/30/2026,1.00,,
Nick Melissari,1151 Fever Tree Ginger Beer 6/4/200 mL Btl,40025 Pf Changs China Bis(A) (Hackensack),On Premise,7/30/2026,1.00,,
Nick Melissari,1169 Fever Tree Ginger Ale 6/4/200 mL Btl,41016 Cheesecake Fact (A)Hacken,On Premise,7/30/2026,1.00,,
Anthony Palmisano,1177 Fever Tree Distillers Cola 6/4/200 mL Btl,230915 Crystal Sprs/Wild Turkey,On Premise,7/30/2026,1.00,,
Allison Scott,1157 Fever Tree Club Soda 6/4/200 mL Btl,24038 J. Alexander's Restaurant,On Premise,7/30/2026,1.00,,
Anthony Palmisano,1154 Fever Tree Ginger Beer 8/500 mL Btl,230915 Crystal Sprs/Wild Turkey,On Premise,7/30/2026,1.00,,
Allison Scott,1169 Fever Tree Ginger Ale 6/4/200 mL Btl,12041 Cheesecake Fact (A)Wayne,On Premise,7/30/2026,1.00,,
Allison Scott,1168 Fever Tree mediterranean Tonic Water 6/4/200 mL Btl,12056 PF Changs China Bistro (Wayne),On Premise,7/30/2026,1.00,,
Nick Melissari,1151 Fever Tree Ginger Beer 6/4/200 mL Btl,41016 Cheesecake Fact (A)Hacken,On Premise,7/30/2026,1.00,,
Brian Sengebush,1166 Fever Tree Elderflower Tonic Water 6/4/200 mL Btl,191509 The Beacon,On Premise,7/30/2026,1.00,,
Allison Scott,1157 Fever Tree Club Soda 6/4/200 mL Btl,12056 PF Changs China Bistro (Wayne),On Premise,7/30/2026,1.00,,
Brian Sengebush,1169 Fever Tree Ginger Ale 6/4/200 mL Btl,1022 The Cheesecake Factory,On Premise,7/30/2026,1.00,,
Mike Ast,1172 Fever Tree Pink Grapefruit Soda 6/4/200 mL Btl,95001 Pazza,On Premise,7/29/2026,1.00,,
Dan Lagala,1151 Fever Tree Ginger Beer 6/4/200 mL Btl,49016 Ipic Theaters,On Premise,7/29/2026,1.00,,
Nick Melissari,1155 Fever Tree Ginger Beer 3/8/150 mL Can,92005 Kinchley's,On Premise,7/28/2026,1.00,,
Nick Melissari,1151 Fever Tree Ginger Beer 6/4/200 mL Btl,88002 Nellie's Place (P),On Premise,7/28/2026,1.00,,
